date,open,high,low,close,volume
2021-06-01,58800,59000,58000,58800,921289
2021-06-02,59000,59500,58500,58900,984297
2021-06-03,59000,59800,58300,58300,1189896
2021-06-04,58200,59000,57400,57600,1439388
2021-06-07,57700,58100,57200,58000,818905
2021-06-08,57900,58300,57300,57900,840733
2021-06-09,57400,57800,56900,56900,814735
2021-06-10,56900,57300,56400,57200,1336878
2021-06-11,57000,57500,56600,57000,810885
2021-06-14,57000,57000,55700,56200,1080418
2021-06-15,55600,56400,55400,55900,950322
2021-06-16,56000,57300,55900,56900,1172338
2021-06-17,57100,57700,56300,56900,1208470
2021-06-18,56500,57100,56100,56800,1240029
2021-06-21,56100,56400,55000,55100,1951084
2021-06-22,55800,56000,55600,55800,629527
2021-06-23,55700,56000,55000,55500,782926
2021-06-24,55200,56400,55000,56100,972137
2021-06-25,56800,57300,56500,57300,983536
2021-06-28,57400,57800,56700,57200,1044763
2021-06-29,56600,56600,55700,56100,1108424
2021-06-30,55900,56300,55700,55800,915409
2021-07-01,55600,55700,54700,54700,1803641
2021-07-02,55100,55100,54300,54500,1687207
2021-07-05,54500,54700,53800,54000,1241061
2021-07-06,53800,54200,53500,53800,1093402
2021-07-07,53100,53400,52500,52800,2142738
2021-07-08,52500,53100,52200,52300,2043669
2021-07-09,51300,51300,50100,50400,4244069
2021-07-12,51500,52300,51400,51500,1993981
2021-07-13,52200,52800,52100,52200,1474584
2021-07-14,52000,52200,51300,51500,1457880
2021-07-15,51500,52200,51400,51800,1254010
2021-07-16,51500,52500,51400,52500,1171346
2021-07-19,51900,52300,50900,51100,1350304
2021-07-20,50200,51100,50100,50800,1220986
2021-07-21,51100,51500,50600,50600,1087436
2021-07-22,51400,52200,51300,51800,1657259
2021-07-23,51900,52500,51300,52200,1366442
2021-07-26,52600,52700,51400,51800,907906
2021-07-27,52000,52600,51800,52100,1076839
2021-07-28,51700,52600,51600,52500,1101854
2021-07-29,53000,53100,52500,52600,1150868
2021-07-30,50600,52000,50500,51300,1698067
2021-08-02,51200,51400,50600,50900,1091630
2021-08-03,51100,51600,50600,51600,1043675
2021-08-04,52100,52900,51700,52700,1333664
2021-08-05,52400,52900,52000,52000,927728
2021-08-06,52500,53300,51900,52200,1270530
2021-08-09,52600,53200,52500,53000,1879902
2021-08-10,53200,53200,52100,52300,1162055
2021-08-11,52600,53600,52500,53600,1802909
2021-08-12,54000,54000,53100,53400,1578901
2021-08-13,53800,53800,52200,53200,1382277
2021-08-17,53500,53600,52700,53200,1440176
2021-08-18,53000,53500,52700,53000,917398
2021-08-19,52900,52900,51000,51300,1269467
2021-08-20,51400,51800,50200,50800,1843597
2021-08-23,50900,51800,50800,51100,1017940
2021-08-24,51500,52600,51400,52500,1402216
2021-08-25,53100,53800,52600,53700,1215743
2021-08-26,53900,54700,52900,54200,2216554
