date,open,high,low,close,volume
2021-06-01,38767,39196,38717,38995,425844
2021-06-02,38970,39226,38917,38960,1247740
2021-06-03,39038,39477,39038,39321,2168151
2021-06-04,39155,39261,38930,39169,578201
2021-06-07,39496,39504,39058,39321,356859
2021-06-08,39321,39435,39186,39244,303708
2021-06-09,39186,39201,38802,38802,674525
2021-06-10,38810,39053,38754,38935,755608
2021-06-11,39101,39306,39023,39196,645575
2021-06-14,39221,39261,39058,39191,809769
2021-06-15,39201,39343,39147,39293,196114
2021-06-16,39239,39582,39234,39527,479582
2021-06-17,39413,39472,39155,39326,747445
2021-06-18,39371,39522,39306,39409,317822
2021-06-21,39005,39177,38871,39038,817728
2021-06-22,39230,39362,39196,39302,246640
2021-06-23,39418,39570,39339,39522,803476
2021-06-24,39578,39760,39552,39660,462271
2021-06-25,39830,40058,39796,39853,555582
2021-06-28,39863,39953,39713,39858,390919
2021-06-29,39866,39919,39560,39696,634386
2021-06-30,39796,39909,39740,39791,717233
2021-07-01,39737,39791,39509,39565,637236
2021-07-02,39565,39727,39496,39513,267654
2021-07-05,39682,39809,39624,39705,507260
2021-07-06,39783,39980,39783,39858,257358
2021-07-07,39853,39853,39527,39638,440654
2021-07-08,39638,39783,39230,39230,505495
2021-07-09,38960,39005,38467,38797,1398534
2021-07-12,38940,39211,38940,39151,289945
2021-07-13,39273,39496,39273,39491,278075
2021-07-14,39367,39406,39186,39334,181483
2021-07-15,39402,39638,39326,39619,463073
2021-07-16,39343,39532,39293,39431,264906
2021-07-19,39186,39186,38922,39013,276241
2021-07-20,38689,38927,38679,38888,412919
2021-07-21,39086,39106,38649,38663,660584
2021-07-22,38835,39244,38835,39159,404288
2021-07-23,39169,39343,39109,39230,608745
2021-07-26,39278,39306,38810,38810,368618
2021-07-27,38975,39164,38878,38903,230157
2021-07-28,38852,39058,38675,38980,960578
2021-07-29,39063,39186,38930,39019,1860063
2021-07-30,38943,38943,38554,38562,1009143
2021-08-02,38662,38820,38484,38759,495479
2021-08-03,38749,39094,38698,39094,511971
2021-08-04,39155,39701,39133,39647,644003
2021-08-05,39647,39805,39501,39574,715729
2021-08-06,39611,39661,39303,39399,227794
2021-08-09,39261,39372,39082,39221,287759
2021-08-10,39339,39344,38830,38943,206091
2021-08-11,38771,38975,38586,38616,393926
2021-08-12,38607,38693,38328,38425,566947
2021-08-13,38372,38389,37651,37809,556960
2021-08-17,37814,37931,37319,37383,888009
2021-08-18,37383,37750,37196,37562,1097823
2021-08-19,37300,37510,36834,36834,2145472
2021-08-20,36926,37110,36306,36442,1235688
2021-08-23,36787,37078,36572,36787,460180
2021-08-24,37083,37505,37083,37468,565883
2021-08-25,37587,37796,37344,37614,628366
2021-08-26,37646,37787,37254,37323,656586
2021-08-27,37286,37439,37023,37300,440855
2021-08-30,37632,37796,37300,37392,373646
2021-08-31,37426,38135,37251,38135,906334
2021-09-01,38081,38295,37931,38188,630087
2021-09-02,38090,38174,37707,37835,756115
2021-09-03,37844,38163,37844,38081,1037831
2021-09-06,38110,38257,37988,38208,481147
2021-09-07,38208,38208,37853,37983,217676
2021-09-08,37844,37964,37601,37659,559930
2021-09-09,37478,37577,36954,36959,1019296
2021-09-10,36968,37247,36935,37146,659416
2021-09-13,37123,37368,36964,37237,411356
2021-09-14,37368,37707,37368,37481,490527
