date,open,high,low,close,volume
2021-06-01,85800,86600,84500,85700,2163249
2021-06-02,87000,88000,85700,86300,4186773
2021-06-03,86500,87900,85800,87000,2953650
2021-06-04,88400,89200,87500,89000,4652245
2021-06-07,90100,91500,90000,90000,4349122
2021-06-08,89800,92000,88600,91500,3656495
2021-06-09,91000,92500,89800,90300,3106550
2021-06-10,90300,90800,89000,89200,2435935
2021-06-11,89800,90900,89000,89800,2413487
2021-06-14,89200,89500,87600,88500,2159724
2021-06-15,88100,88900,87000,88400,1490830
2021-06-16,88300,89900,88100,89100,1555202
2021-06-17,88500,88600,87500,87600,1947846
2021-06-18,88000,89200,87600,88500,2172637
2021-06-21,87500,88500,86700,87400,2093073
2021-06-22,87900,90400,87700,89800,2728623
2021-06-23,90400,90800,89600,90200,2113023
2021-06-24,91000,93700,90300,90600,4353794
2021-06-25,91300,91500,89700,90700,1821258
2021-06-28,91100,91200,89100,89500,1889876
2021-06-29,90000,91300,89100,89500,1631173
2021-06-30,89500,90200,89200,89600,1532598
2021-07-01,89300,90700,88000,90500,2961680
2021-07-02,90900,92300,90000,90000,2567189
2021-07-05,90700,90800,88500,88900,2251226
2021-07-06,89500,89900,88600,88700,1444695
2021-07-07,88600,88700,87500,87800,2145689
2021-07-08,88000,88500,86900,86900,1920196
2021-07-09,86000,86600,85200,86000,2233854
2021-07-12,87000,88700,87000,87700,1534082
2021-07-13,88300,88400,87400,87900,1257028
2021-07-14,88000,89100,87500,87600,1527409
2021-07-15,87600,88500,87600,88200,1115833
2021-07-16,87700,87700,86700,87100,1345746
2021-07-19,86100,86400,85500,85800,1366530
2021-07-20,85100,87700,85100,87100,2152103
2021-07-21,88600,88800,87000,87100,1364811
2021-07-22,87600,88700,87000,87400,2254146
2021-07-23,88700,88900,86100,86400,2597077
2021-07-26,86500,87000,85700,85900,1501918
2021-07-27,86400,87000,85900,86400,1197572
2021-07-28,86000,86400,85200,86100,1338474
2021-07-29,86500,87000,86100,86300,1058354
2021-07-30,86000,86100,83600,83600,2739051
2021-08-02,83700,85200,83100,84700,1470603
2021-08-03,84800,85800,84200,85800,1193061
2021-08-04,86200,87100,85600,87000,1659929
2021-08-05,86400,86700,85700,85700,1417727
