date,open,high,low,close,volume
2021-06-01,34350,34450,34050,34100,1022983
2021-06-02,34050,34050,33400,33650,1660962
2021-06-03,33750,33950,33600,33700,1033532
2021-06-04,33600,33600,33000,33200,1240956
2021-06-07,33250,33750,33000,33200,1315741
2021-06-08,33150,33750,33100,33550,814319
2021-06-09,33450,33900,33300,33350,1100467
2021-06-10,33450,33650,32950,32950,1679373
2021-06-11,33000,33250,32700,33050,1020653
2021-06-14,33050,33150,32600,32700,925700
2021-06-15,32650,32850,32350,32750,1099308
2021-06-16,32650,32950,32150,32350,1644157
2021-06-17,32150,33000,32000,32850,1224113
2021-06-18,32950,33350,32650,32700,1079771
2021-06-21,32400,32400,31650,31750,1623576
2021-06-22,31950,32650,31850,32500,948922
2021-06-23,32500,32750,32050,32400,852762
2021-06-24,32300,32450,31900,32250,836640
2021-06-25,32150,32550,32000,32450,775310
2021-06-28,32350,32450,31950,32050,1055071
2021-06-29,32000,32050,31450,31900,1323012
2021-06-30,31900,32100,31700,31800,646688
2021-07-01,31800,31800,31500,31600,593755
2021-07-02,31500,31900,31500,31800,506921
2021-07-05,31850,31900,31500,31750,528031
2021-07-06,32100,32500,31900,32400,1161971
2021-07-07,32350,32950,32050,32500,1032962
2021-07-08,32600,33250,32500,32500,1742820
2021-07-09,32300,32600,31900,32150,1464984
2021-07-12,32300,32650,32250,32450,600931
2021-07-13,32700,33150,32600,33100,1038225
2021-07-14,32950,33100,32800,32950,709627
2021-07-15,33000,33350,32850,33000,1080294
2021-07-16,32950,33200,32800,33050,636895
2021-07-19,32950,33550,32800,33350,1012787
2021-07-20,33150,33950,33050,33600,1458978
2021-07-21,33650,34350,33400,34150,1870235
2021-07-22,34250,35000,34200,34900,2016300
2021-07-23,35100,35200,34300,34700,1561907
2021-07-26,34550,34650,33600,33600,1467878
2021-07-27,33800,33950,33100,33250,1002289
2021-07-28,33100,34150,33100,33800,1119654
2021-07-29,33850,34150,33700,33800,763945
2021-07-30,33700,34100,33450,33800,1210017
2021-08-02,33800,34150,33600,33950,736305
2021-08-03,33800,33900,33450,33550,877953
2021-08-04,33500,33650,33050,33500,847795
2021-08-05,33350,33650,33250,33400,564767
2021-08-06,33400,33650,33350,33500,488110
2021-08-09,33250,33700,33200,33650,928239
2021-08-10,33650,33700,33150,33400,787255
2021-08-11,33750,35050,33700,34850,2431998
2021-08-12,34800,35200,34200,34200,1537610
2021-08-13,34350,34600,33700,34150,1087755
2021-08-17,34150,34250,33650,33650,1218380
2021-08-18,33700,34500,33500,34300,1322869
2021-08-19,34050,34100,33200,33200,1500660
2021-08-20,33250,33400,31750,31950,1929384
2021-08-23,32300,32800,31950,32500,1119256
2021-08-24,32800,33100,32550,32600,1008205
2021-08-25,32650,33100,32600,32800,555321
2021-08-26,32800,33000,32600,32750,667915
2021-08-27,32500,32750,32250,32400,757653
2021-08-30,32550,32800,32400,32450,609770
2021-08-31,32600,33100,32450,32800,1079621
2021-09-01,32650,33600,32650,33450,990900
2021-09-02,33400,33600,32900,32950,735338
2021-09-03,33000,33350,32900,32900,536696
2021-09-06,32900,32900,32500,32600,615251
2021-09-07,32500,32800,32400,32650,561847
2021-09-08,32650,32850,32600,32650,595725
2021-09-09,32700,33500,32600,32600,1164930
2021-09-10,32800,33150,32650,32750,618730
2021-09-13,32650,32850,32500,32750,412143
2021-09-14,32800,33150,32650,32650,741436
2021-09-15,32550,32800,32500,32550,561560
2021-09-16,32700,32750,32400,32500,610516
2021-09-17,32500,32650,32300,32550,550146
2021-09-23,32300,32550,32250,32500,706887
2021-09-24,32600,32700,32350,32450,552556
2021-09-27,32300,32750,32300,32550,523560
2021-09-28,32500,32650,32350,32450,536695
2021-09-29,32000,32450,32000,32400,770964
2021-09-30,32450,32750,32300,32600,730094
2021-10-01,32350,32550,31950,32000,858992
2021-10-05,31850,32100,31700,31700,1348803
2021-10-06,31950,32100,31550,31550,781110
2021-10-07,31700,32050,31550,31600,869066
2021-10-08,31600,31650,31200,31350,666175
2021-10-12,31200,31200,30500,30500,1098561
2021-10-13,30400,31650,30400,31400,926683
