종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","55500","200","0.36","3.31322932E8"
"373220","LG에너지솔루션","446000","10500","2.41","1.04364E8"
"207940","삼성바이오로직스","827000","6000","0.73","5.8860898E7"
"000660","SK하이닉스","75700","700","0.93","5.5109779E7"
"051910","LG화학","604000","4000","0.67","4.2637775E7"
"006400","삼성SDI","602000","11000","1.86","4.1396247E7"
"005380","현대차","157000","6000","3.97","3.3545905E7"
"035420","NAVER","179500","2000","1.13","2.9446811E7"
"000270","기아","61500","2200","3.71","2.4929846E7"
"035720","카카오","52700","-400","-0.75","2.3473127E7"
"005490","POSCO홀딩스","272000","-4500","-1.63","2.3003375E7"
"068270","셀트리온","160000","-500","-0.31","2.2528834E7"
"028260","삼성물산","111500","-2000","-1.76","2.083791E7"
"105560","KB금융","47600","-900","-1.86","1.94635E7"
"012330","현대모비스","202500","2000","1.00","1.9092732E7"
"055550","신한지주","34300","-900","-2.56","1.7451321E7"
"003670","포스코케미칼","191500","11500","6.39","1.4834207E7"
"096770","SK이노베이션","155000","1000","0.65","1.4332162E7"
"066570","LG전자","86400","-100","-0.12","1.4139171E7"
"032830","삼성생명","70400","-600","-0.85","1.408E7"
"034730","SK","185000","-4000","-2.12","1.3717626E7"
"015760","한국전력","19350","-2450","-11.24","1.2422005E7"
"033780","KT&G","89000","-2500","-2.73","1.2219032E7"
"086790","하나금융지주","40800","-1250","-2.97","1.2072862E7"
"003550","LG","76600","-1500","-1.92","1.2049256E7"
"323410","카카오뱅크","24150","-150","-0.62","1.1512883E7"
"051900","LG생활건강","720000","-2000","-0.28","1.1245102E7"
"010130","고려아연","539000","-25000","-4.43","1.0706242E7"
"329180","현대중공업","117500","1500","1.29","1.0430841E7"
"017670","SK텔레콤","47250","-150","-0.32","1.0339866E7"
"009150","삼성전기","132500","2000","1.53","9896915.0"
"034020","두산에너빌리티","15250","-150","-0.97","9734198.0"
"036570","엔씨소프트","431500","-16500","-3.68","9473160.0"
"011200","HMM","19350","-200","-1.02","9462914.0"
"018260","삼성에스디에스","120500","-2500","-2.03","9324025.0"
"010950","S-Oil","82800","-600","-0.72","9321855.0"
"000810","삼성화재","194500","-5500","-2.75","9214406.0"
"030200","KT","32500","-1300","-3.85","8486134.0"
"003490","대한항공","22700","-250","-1.09","8358609.0"
"009830","한화솔루션","42850","-150","-0.35","8196284.0"
"316140","우리금융지주","11250","-300","-2.60","8190681.0"
"259960","크래프톤","164000","-4000","-2.38","8049373.0"
"090430","아모레퍼시픽","135000","-2500","-1.82","7896522.0"
"024110","기업은행","9460","-360","-3.67","7543649.0"
"377300","카카오페이","53700","-500","-0.92","7142252.0"
"352820","하이브","169500","-4000","-2.31","7009399.0"
"086280","현대글로비스","163500","0","0.00","6131250.0"
"011170","롯데케미칼","175500","-3000","-1.68","6015336.0"
"011070","LG이노텍","253000","500","0.20","5987778.0"
"097950","CJ제일제당","376500","-4000","-1.05","5667901.0"
"302440","SK바이오사이언스","73500","0","0.00","5643627.0"
"326030","SK바이오팜","71400","-700","-0.97","5591566.0"
"000060","메리츠화재","48400","-1300","-2.62","5377437.0"
"138040","메리츠금융지주","41550","-1150","-2.69","5300609.0"
"383220","F&F","140000","-4500","-3.11","5362991.0"
"009540","한국조선해양","71000","300","0.42","5024891.0"
"271560","오리온","125500","-2500","-1.95","4961785.0"
"035250","강원랜드","22900","-300","-1.29","4899237.0"
"032640","LG유플러스","10750","-300","-2.71","4693572.0"
"251270","넷마블","55900","-4500","-7.45","4804801.0"
"047810","한국항공우주","49250","-1650","-3.24","4800649.0"
"402340","SK스퀘어","32900","-650","-1.94","4654283.0"
"005830","DB손해보험","63400","-1900","-2.91","4488720.0"
"010140","삼성중공업","5080","-30","-0.59","4470400.0"
"267250","HD현대","56400","-700","-1.23","4455210.0"
"028050","삼성엔지니어링","23000","750","3.37","4508000.0"
"034220","LG디스플레이","12500","50","0.40","4472696.0"
"018880","한온시스템","8360","270","3.34","4462568.0"
"021240","코웨이","55900","0","0.00","4125399.0"
"000100","유한양행","56400","-800","-1.40","4130255.0"
"078930","GS","42600","-1200","-2.74","3958195.0"
"004020","현대제철","30450","-150","-0.49","4063424.0"
"008560","메리츠증권","6130","-110","-1.76","3770199.0"
"361610","SK아이이테크놀로지","53900","900","1.70","3842940.0"
"161390","한국타이어앤테크놀로지","31000","-150","-0.48","3840127.0"
"000720","현대건설","33600","-1300","-3.72","3741554.0"
"012450","한화에어로스페이스","73600","0","0.00","3726368.0"
"006800","미래에셋증권","5980","-100","-1.64","3679592.0"
"282330","BGF리테일","202000","-8500","-4.04","3491349.0"
"011780","금호석유","121000","-5000","-3.97","3547032.0"
"011790","SKC","88100","-400","-0.45","3336197.0"
"241560","두산밥캣","33150","-1450","-4.19","3323260.0"
"128940","한미약품","279500","-18500","-6.21","3442873.0"
"029780","삼성카드","28900","-650","-2.20","3348322.0"
"004990","롯데지주","30050","-750","-2.44","3152523.0"
"010620","현대미포조선","81400","-3100","-3.67","3251291.0"
"008770","호텔신라","81500","-1600","-1.93","3198722.0"
"064350","현대로템","27850","-550","-1.94","3039613.0"
"036460","한국가스공사","33250","-2950","-8.15","3069407.0"
"002790","아모레G","34850","-50","-0.14","2873668.0"
"003410","쌍용C&E","5640","-120","-2.08","2841768.0"
"007070","GS리테일","27750","-400","-1.42","2905922.0"
"137310","에스디바이오센서","28600","-1550","-5.14","2977759.0"
"071050","한국금융지주","51800","-1500","-2.81","2886606.0"
"112610","씨에스윈드","67800","-1000","-1.45","2859221.0"
"028670","팬오션","5500","-230","-4.01","2940132.0"
"016360","삼성증권","30400","-1050","-3.34","2714720.0"
"005940","NH투자증권","8500","-270","-3.08","2819160.0"
"001450","현대해상","28800","-650","-2.21","2574720.0"
"139480","이마트","94800","-3200","-3.27","2642628.0"
"047050","포스코인터내셔널","21600","-1000","-4.42","2664903.0"
"023530","롯데쇼핑","91100","100","0.11","2577106.0"
"001040","CJ","84700","600","0.71","2471292.0"
"006040","동원산업","49000","-350","-0.71","2449151.0"
"180640","한진칼","35700","-1750","-4.67","2383396.0"
"030000","제일기획","21750","-1300","-5.64","2502147.0"
"020150","일진머티리얼즈","51900","0","0.00","2393152.0"
"088350","한화생명","2640","-130","-4.69","2292919.0"
"000120","CJ대한통운","91000","-2700","-2.88","2075923.0"
"004170","신세계","217000","-3000","-1.36","2136404.0"
"004370","농심","352000","-5000","-1.40","2141090.0"
"039490","키움증권","80900","-3100","-3.69","2121159.0"
"008930","한미사이언스","31650","-800","-2.47","2171940.0"
"012750","에스원","57800","-1500","-2.53","2196352.0"
"014680","한솔케미칼","186000","500","0.27","2108346.0"
"006260","LS","67300","-2400","-3.44","2167060.0"
"026960","동서","19900","-300","-1.49","1984030.0"
"042660","대우조선해양","18700","-250","-1.32","2006336.0"
"052690","한전기술","53400","-1200","-2.20","2040948.0"
"079550","LIG넥스원","88900","-3300","-3.58","1955800.0"
"272210","한화시스템","10450","-100","-0.95","1974208.0"
"111770","영원무역","44550","-2400","-5.11","1974076.0"
"138930","BNK금융지주","6300","-200","-3.08","2053392.0"
"204320","HL만도","42350","2050","5.09","1988634.0"
"081660","휠라홀딩스","33450","200","0.60","2032162.0"
"000880","한화","25350","-300","-1.17","1900204.0"
"001440","대한전선","1480","-15","-1.00","1841820.0"
"002380","KCC","199500","-5000","-2.44","1772851.0"
"336260","두산퓨얼셀","29050","-300","-1.02","1902593.0"
"010060","OCI","78100","-2700","-3.34","1862636.0"
"069620","대웅제약","160500","2000","1.26","1859645.0"
"007310","오뚜기","464500","-11500","-2.42","1861637.0"
"000080","하이트진로","24400","-1150","-4.50","1711260.0"
