종목코드,종목명,종가,대비,등락률,상장시가총액
"005850","에스엘","31600","400","1.28","1523224.0"
"294870","HDC현대산업개발","23700","800","3.49","1562004.0"
"014820","동원시스템즈","50300","-900","-1.76","1468177.0"
"020560","아시아나항공","20050","50","0.25","1491956.0"
"079550","LIG넥스원","69100","500","0.73","1520200.0"
"178920","PI첨단소재","54800","-300","-0.54","1609274.0"
"009900","명신산업","29800","-300","-1.00","1563610.0"
"000210","DL","61400","500","0.82","1286691.0"
"005250","녹십자홀딩스","27500","350","1.29","1293276.0"
"185750","종근당","109500","-1500","-1.35","1251158.0"
"042670","현대두산인프라코어","6990","-90","-1.27","1380068.0"
"073240","금호타이어","4505","-105","-2.28","1294108.0"
"010780","아이에스동서","45350","1100","2.49","1400980.0"
"000670","영풍","653000","-2000","-0.31","1202852.0"
"001740","SK네트웍스","4960","-60","-1.20","1231011.0"
"003240","태광산업","1029000","-14000","-1.34","1145689.0"
"004490","세방전지","76000","100","0.13","1064000.0"
"005300","롯데칠성","131000","-2500","-1.87","1215534.0"
"192080","더블유게임즈","59200","1300","2.25","1087771.0"
"009420","한올바이오파마","21550","500","2.38","1125786.0"
"013890","지누스","77800","700","0.91","1229275.0"
"016380","KG동부제철","10750","150","1.42","1075096.0"
"032350","롯데관광개발","17750","200","1.14","1229643.0"
"006650","대한유화","180500","-2500","-1.37","1173250.0"
"001120","LX인터내셔널","26400","-50","-0.19","1023264.0"
"284740","쿠쿠홈시스","38600","-600","-1.53","866081.0"
"003000","부광약품","12950","50","0.39","920266.0"
"003520","영진약품","5390","100","1.89","985792.0"
"003850","보령제약","14700","100","0.68","1009743.0"
"006120","SK디스커버리","46350","-50","-0.11","882405.0"
"020000","한섬","35950","350","0.98","885449.0"
"031430","신세계인터내셔날","145500","0","0.00","1038870.0"
"069260","휴켐스","22800","-350","-1.51","932032.0"
"079160","CJ CGV","25150","100","0.40","954528.0"
"103140","풍산","31700","550","1.77","888370.0"
"105630","한세실업","21900","-50","-0.23","876000.0"
"161890","한국콜마","40200","-50","-0.12","919823.0"
"192820","코스맥스","87300","-100","-0.11","990812.0"
"241590","화승엔터프라이즈","16800","-50","-0.30","1017590.0"
"001800","오리온홀딩스","15750","-200","-1.25","986665.0"
"000070","삼양홀딩스","97300","-900","-0.92","833304.0"
"001680","대상","23050","-250","-1.07","798637.0"
"002350","넥센타이어","6950","130","1.91","678792.0"
"005440","현대그린푸드","8520","-50","-0.58","832442.0"
"114090","GKL","13200","50","0.38","816495.0"
"049770","동원F&B","194000","-500","-0.26","748670.0"
"057050","현대홈쇼핑","62900","-500","-0.79","754800.0"
"064960","SNT모티브","48300","1250","2.66","706297.0"
"006040","동원산업","226000","-1000","-0.44","831147.0"
"192400","쿠쿠홀딩스","18750","-400","-2.09","666791.0"
