종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","78600","300","0.38","4.69224908E8"
"000660","SK하이닉스","128500","-2500","-1.91","9.3548304E7"
"035420","NAVER","376000","-2500","-0.66","6.1682456E7"
"207940","삼성바이오로직스","911000","8000","0.89","6.0276315E7"
"035720","카카오","114500","2000","1.78","5.1042368E7"
"005380","현대차","210500","1500","0.72","4.4977153E7"
"006400","삼성SDI","650000","-5000","-0.76","4.4696945E7"
"051910","LG화학","618000","3000","0.49","4.3626068E7"
"000270","기아","82600","400","0.49","3.3483012E7"
"323410","카카오뱅크","59100","100","0.17","2.8081911E7"
"068270","셀트리온","198500","500","0.25","2.7382505E7"
"005490","POSCO","280000","5500","2.00","2.4412314E7"
"012330","현대모비스","256500","2000","0.79","2.4257999E7"
"377300","카카오페이","176500","2000","1.15","2.3277364E7"
"096770","SK이노베이션","248000","9500","3.98","2.293146E7"
"105560","KB금융","55300","300","0.55","2.2994178E7"
"066570","LG전자","139500","1500","1.09","2.282887E7"
"259960","크래프톤","460000","0","0.00","2.2524841E7"
"028260","삼성물산","117500","-1500","-1.26","2.1959232E7"
"055550","신한지주","37250","450","1.22","1.9243333E7"
"034730","SK","255500","4500","1.79","1.8945154E7"
"302440","SK바이오사이언스","229500","4500","2.00","1.755675E7"
"051900","LG생활건강","1104000","7000","0.64","1.7242489E7"
"036570","엔씨소프트","667000","24000","3.73","1.4643333E7"
"009150","삼성전기","194500","-3000","-1.52","1.4527924E7"
"352820","하이브","350500","1500","0.43","1.4494362E7"
"015760","한국전력","22350","250","1.13","1.4347897E7"
"011200","HMM","27300","400","1.49","1.3350778E7"
"032830","삼성생명","64500","400","0.62","1.29E7"
"003550","LG","81000","100","0.12","1.274138E7"
"086790","하나금융지주","42350","300","0.71","1.2715251E7"
"017670","SK텔레콤","57200","-700","-1.21","1.2517256E7"
"018260","삼성에스디에스","156500","0","0.00","1.2109626E7"
"361610","SK아이이테크놀로지","164500","-3500","-2.08","1.1728454E7"
"003670","포스코케미칼","143500","-500","-0.35","1.1115972E7"
"251270","넷마블","127500","2500","2.00","1.0959072E7"
"034020","두산중공업","20950","550","2.70","1.0913292E7"
"033780","KT&G","79000","0","0.00","1.0846107E7"
"003490","대한항공","29500","150","0.51","1.0260714E7"
"090430","아모레퍼시픽","168000","1000","0.60","9826784.0"
"010950","S-Oil","85900","200","0.23","9670862.0"
"000810","삼성화재","204500","2500","1.24","9688154.0"
"010130","고려아연","510000","-1000","-0.20","9623700.0"
"402340","SK스퀘어","66500","100","0.15","9407593.0"
"316140","우리금융지주","12800","100","0.79","9319175.0"
"034220","LG디스플레이","24700","100","0.41","8838048.0"
"011070","LG이노텍","370500","6500","1.79","8768663.0"
"329180","현대중공업","97600","2400","2.52","8664256.0"
"030200","KT","30350","-250","-0.82","7924743.0"
"024110","기업은행","10350","50","0.49","7703511.0"
"326030","SK바이오팜","98400","1200","1.23","7706024.0"
"011170","롯데케미칼","217000","0","0.00","7437766.0"
"018880","한온시스템","13450","0","0.00","7179610.0"
"009830","한화솔루션","35550","50","0.14","6799951.0"
"009540","한국조선해양","94000","-600","-0.63","6652673.0"
"011790","SKC","169500","-5000","-2.87","6418677.0"
"086280","현대글로비스","172500","4500","2.68","6468750.0"
"020150","일진머티리얼즈","131500","-3500","-2.59","6063575.0"
"138040","메리츠금융지주","45500","1500","3.41","6097514.0"
"032640","LG유플러스","13650","50","0.37","5959745.0"
"097950","CJ제일제당","379500","-8000","-2.06","5713064.0"
"004020","현대제철","41550","550","1.34","5544672.0"
"021240","코웨이","73400","-1000","-1.34","5416892.0"
"006800","미래에셋증권","8550","-100","-1.16","5431955.0"
"161390","한국타이어앤테크놀로지","40950","1250","3.15","5072684.0"
"035250","강원랜드","24200","150","0.62","5177360.0"
"011780","금호석유","167000","1000","0.60","5088104.0"
"000720","현대건설","46150","1700","3.82","5139069.0"
"010140","삼성중공업","5680","10","0.18","4998400.0"
"028050","삼성엔지니어링","22900","0","0.00","4488400.0"
"000100","유한양행","63400","1300","2.09","4436286.0"
"071050","한국금융지주","79800","-900","-1.12","4446934.0"
"139480","이마트","150500","-500","-0.33","4195311.0"
"271560","오리온","104000","500","0.48","4111758.0"
"267250","현대중공업지주","53600","-100","-0.19","4234029.0"
"180640","한진칼","62200","800","1.30","4151158.0"
"016360","삼성증권","44200","-700","-1.56","3947060.0"
"241560","두산밥캣","40600","-150","-0.37","4070116.0"
"003410","쌍용C&E","7690","-20","-0.26","3874680.0"
"008930","한미사이언스","55500","1300","2.40","3735406.0"
"005830","DB손해보험","54000","0","0.00","3823200.0"
"078930","GS","39400","300","0.77","3660866.0"
"002790","아모레G","45000","650","1.47","3710618.0"
"036460","한국가스공사","38350","-750","-1.92","3540204.0"
"029780","삼성카드","31300","-200","-0.63","3626383.0"
"005940","NH투자증권","12200","-300","-2.40","3623813.0"
"128940","한미약품","285000","9000","3.26","3442310.0"
"000990","DB하이텍","76900","4200","5.78","3414251.0"
"006360","GS건설","40050","450","1.14","3427539.0"
"008560","메리츠증권","5180","30","0.58","3531364.0"
"014680","한솔케미칼","297500","-8000","-2.62","3372221.0"
"052690","한전기술","88200","3200","3.76","3371004.0"
"007070","GS리테일","30200","-200","-0.66","3162481.0"
"272210","한화시스템","16850","850","5.31","3183292.0"
"047810","한국항공우주","32900","450","1.39","3206931.0"
"026960","동서","30550","-450","-1.45","3045835.0"
"008770","호텔신라","78200","200","0.26","3069203.0"
"004990","롯데지주","29850","-50","-0.17","3131541.0"
"336260","두산퓨얼셀","48000","0","0.00","3143699.0"
"028670","팬오션","5570","160","2.96","2977552.0"
"010620","현대미포조선","70000","0","0.00","2795950.0"
"204320","만도","62900","-500","-0.79","2953603.0"
"012750","에스원","73800","-100","-0.14","2804339.0"
"039490","키움증권","107000","0","0.00","2805488.0"
"047050","포스코인터내셔널","22500","50","0.22","2775941.0"
"000120","CJ대한통운","129000","3000","2.38","2942792.0"
"030000","제일기획","22450","-400","-1.75","2582676.0"
"006280","녹십자","224000","6000","2.75","2617785.0"
"002380","KCC","309000","-6000","-1.90","2745920.0"
"285130","SK케미칼","148500","-500","-0.34","2616686.0"
"112610","씨에스윈드","65200","-500","-0.76","2749575.0"
"138930","BNK금융지주","8390","-10","-0.12","2734597.0"
"001040","CJ","84000","600","0.72","2450868.0"
"004170","신세계","253000","-1000","-0.39","2490831.0"
"010060","OCI","103500","-500","-0.48","2468410.0"
"012450","한화에어로스페이스","49600","1600","3.33","2511248.0"
"023530","롯데쇼핑","86400","-800","-0.92","2444148.0"
"042660","대우조선해양","22950","-100","-0.43","2462321.0"
"047040","대우건설","5870","100","1.73","2439705.0"
"088350","한화생명","2920","-15","-0.51","2536108.0"
"282330","BGF리테일","143500","-2000","-1.37","2480241.0"
"298050","효성첨단소재","574000","-22000","-3.69","2571490.0"
"000880","한화","31450","50","0.16","2357452.0"
"375500","DL이앤씨","122500","3500","2.94","2371445.0"
"298020","효성티앤씨","524000","3000","0.58","2267705.0"
"064350","현대로템","21250","450","2.16","2319274.0"
"000080","하이트진로","30250","100","0.33","2121542.0"
"000150","두산","123000","5000","4.24","2032432.0"
"001450","현대해상","23450","500","2.18","2096430.0"
"093370","후성","22750","-350","-1.52","2106805.0"
"011210","현대위아","80500","600","0.75","2189204.0"
"081660","휠라홀딩스","35850","0","0.00","2177967.0"
"009240","한샘","93300","700","0.76","2195715.0"
"004000","롯데정밀화학","73000","-2000","-2.67","1883400.0"
"004370","농심","316000","-2500","-0.78","1922115.0"
"120110","코오롱인더","71500","600","0.85","1967615.0"
"111770","영원무역","44150","500","1.15","1956351.0"
"004800","효성","93000","-1700","-1.80","1959605.0"
"003090","대웅","31050","0","0.00","1805308.0"
"006260","LS","54500","400","0.74","1754900.0"
"007310","오뚜기","451500","-4500","-0.99","1657899.0"
"010120","LS ELECTRIC","55600","-200","-0.36","1668000.0"
"069960","현대백화점","74700","-400","-0.53","1748162.0"
"019170","신풍제약","32150","200","0.63","1703467.0"
"051600","한전KPS","38500","-50","-0.13","1732500.0"
"069620","대웅제약","151500","3500","2.36","1755366.0"
"017800","현대엘리베이","41150","-50","-0.12","1679545.0"
"000240","한국앤컴퍼니","15550","-150","-0.96","1476243.0"
"001230","동국제강","16100","200","1.26","1536467.0"
"001440","대한전선","1800","20","1.12","1541651.0"
