종목코드,종목명,종가,대비,등락률,상장시가총액
"007070","GS리테일","23500","450","1.95","2460871.0"
"004370","농심","412500","5500","1.35","2509090.0"
"030000","제일기획","19000","-30","-0.16","2185783.0"
"012750","에스원","60000","0","0.00","2279951.0"
"175330","JB금융지주","11070","-320","-2.81","2180601.0"
"138930","BNK금융지주","7010","-130","-1.82","2257840.0"
"081660","휠라홀딩스","38000","-700","-1.81","2308584.0"
"009420","한올바이오파마","43200","-1100","-2.48","2256796.0"
"036460","한국가스공사","24600","-100","-0.40","2270900.0"
"282330","BGF리테일","135100","3800","2.89","2335056.0"
"010120","LS ELECTRIC","73300","100","0.14","2199000.0"
"111770","영원무역","45000","-600","-1.32","1994016.0"
"023530","롯데쇼핑","74200","-800","-1.07","2099026.0"
"002380","KCC","228500","0","0.00","2030559.0"
"139480","이마트","75000","-1600","-2.09","2090686.0"
"028670","팬오션","3735","0","0.00","1996617.0"
"010060","OCI홀딩스","101200","-5000","-4.71","2005047.0"
"026960","동서","18010","-190","-1.04","1795597.0"
"000880","한화","25100","-650","-2.52","1881464.0"
"204320","HL만도","40100","750","1.91","1882981.0"
"020150","롯데에너지머티리얼즈","41500","-550","-1.31","1913600.0"
"003230","삼양식품","234500","18500","8.56","1766492.0"
"042670","HD현대인프라코어","8040","-80","-0.99","1604812.0"
"047040","대우건설","4170","25","0.60","1733146.0"
"017800","현대엘리베이","42500","-1850","-4.17","1661426.0"
"011210","현대위아","64000","-1100","-1.69","1740485.0"
"185750","종근당","128700","-2200","-1.68","1617561.0"
"007310","오뚜기","400000","0","0.00","1603132.0"
"298050","효성첨단소재","396500","-3000","-0.75","1776299.0"
"005850","에스엘","35650","-50","-0.14","1655890.0"
"003620","KG모빌리티","8740","60","0.69","1633996.0"
"004170","신세계","174100","-1100","-0.63","1714046.0"
"000080","하이트진로","22300","-200","-0.89","1563980.0"
"000150","두산","92600","-1300","-1.38","1530107.0"
"000240","한국앤컴퍼니","15360","-240","-1.54","1458205.0"
"002710","TCC스틸","56100","-2700","-4.59","1470588.0"
"004000","롯데정밀화학","56600","-1400","-2.41","1460280.0"
"005420","코스모화학","38500","-500","-1.28","1478717.0"
"006110","삼아알미늄","102900","-3500","-3.29","1513856.0"
"006280","녹십자","125800","300","0.24","1470166.0"
"051600","한전KPS","33850","-200","-0.59","1523250.0"
"073240","금호타이어","5360","-30","-0.56","1539715.0"
"137310","에스디바이오센서","11510","70","0.61","1432734.0"
