date,open,high,low,close,volume
2021-06-01,95036,98037,94786,95787,329927
2021-06-02,95787,97287,95536,95787,229421
2021-06-03,96037,97788,95037,96788,231790
2021-06-04,96537,97788,94537,97038,340611
2021-06-07,98038,98788,96787,97038,327786
2021-06-08,97038,100039,95787,99039,559172
2021-06-09,99289,99539,96037,96288,372282
2021-06-10,96037,96537,94786,94787,436567
2021-06-11,95286,96537,94786,95537,208325
2021-06-14,95537,95787,93036,94787,275692
2021-06-15,95037,97538,93786,97288,360953
2021-06-16,96537,103040,96287,102290,1587221
2021-06-17,101289,103040,101039,102290,545272
2021-06-18,102290,102540,99539,101290,437988
2021-06-21,100039,102290,99288,102290,423766
2021-06-22,103540,106041,102790,103791,686799
2021-06-23,103540,107292,101540,106292,725890
2021-06-24,107042,108542,103290,103791,558676
2021-06-25,104541,108042,104291,106542,537591
2021-06-28,106041,106291,103540,106041,309807
2021-06-29,106041,106291,103290,104291,367104
2021-06-30,104541,105791,103540,104541,257553
2021-07-01,104040,104290,102039,103040,284765
2021-07-02,103040,104540,102289,102790,175546
2021-07-05,104540,106541,103790,105541,384473
2021-07-06,106541,107041,105040,105541,237509
2021-07-07,104290,104540,102539,103540,348120
2021-07-08,103540,104040,100038,100289,442760
2021-07-09,99038,100789,98288,99539,265103
2021-07-12,100539,100789,99538,100289,144270
2021-07-13,100288,101789,99788,100539,207611
2021-07-14,100539,100789,99039,99039,233131
2021-07-15,99538,103540,99288,103040,371109
2021-07-16,101790,102040,100289,101540,161174
2021-07-19,100288,101539,99538,100789,157611
2021-07-20,99288,100539,99288,99539,166478
2021-07-21,100289,100539,99038,99789,177463
2021-07-22,100288,102039,99788,100539,201228
2021-07-23,100789,101289,99038,100039,183165
2021-07-26,101539,106041,100789,103040,687271
2021-07-27,104040,104541,100789,101540,258783
2021-07-28,100539,101789,99288,99539,298607
2021-07-29,100038,100789,99538,100289,159776
2021-07-30,99788,100039,97288,97288,299457
2021-08-02,97787,98538,96537,98038,156841
2021-08-03,99038,99038,96037,96788,205090
2021-08-04,97287,99288,97287,97788,201984
2021-08-05,97788,99038,97537,97788,135532
2021-08-06,98288,98538,97037,97538,119120
