date,open,high,low,close,volume
2021-06-01,10770,10810,10770,10790,1304
2021-06-02,10765,10765,10730,10735,34
2021-06-03,10745,10765,10725,10730,31
2021-06-04,10675,10705,10675,10705,225
2021-06-07,10740,10760,10735,10735,23
2021-06-08,10735,10735,10700,10725,22
2021-06-09,10680,10715,10680,10715,23
2021-06-10,10700,10715,10700,10715,24
2021-06-11,10730,10755,10730,10755,409
2021-06-14,10705,10705,10675,10700,29
2021-06-15,10675,10695,10670,10695,43
2021-06-16,10680,10695,10670,10695,122
2021-06-17,10565,10575,10555,10575,272
2021-06-18,10540,10555,10535,10555,16127
2021-06-21,10510,10525,10480,10525,227
2021-06-22,10540,10555,10525,10555,207
2021-06-23,10545,10545,10485,10505,256
2021-06-24,10500,10525,10490,10525,15
2021-06-25,10525,10590,10525,10590,45
2021-06-28,10560,10570,10545,10565,105
2021-06-29,10550,10580,10550,10580,49
2021-06-30,10530,10600,10530,10600,14
2021-07-01,10560,10560,10525,10540,49
2021-07-02,10510,10530,10510,10520,30
2021-07-05,10535,10570,10530,10545,33
2021-07-06,10540,10565,10530,10565,121
2021-07-07,10505,10505,10460,10490,4605
2021-07-08,10435,10455,10420,10425,6376
2021-07-09,10380,10410,10380,10390,2101
2021-07-12,10400,10410,10390,10410,23
2021-07-13,10400,10430,10400,10425,61
2021-07-14,10375,10395,10360,10395,117
2021-07-15,10400,10455,10380,10450,172
2021-07-16,10425,10470,10425,10470,2399
2021-07-19,10415,10420,10400,10400,1197
2021-07-20,10340,10375,10340,10375,1288
2021-07-21,10365,10375,10335,10345,12
2021-07-22,10345,10380,10345,10380,20
2021-07-23,10380,10395,10350,10370,22
2021-07-26,10330,10355,10325,10330,254
2021-07-27,10340,10380,10340,10375,22
2021-07-28,10315,10335,10300,10335,28
2021-07-29,10350,10405,10350,10405,339
2021-07-30,10405,10415,10355,10375,38
2021-08-02,10340,10370,10320,10370,44
2021-08-03,10365,10390,10335,10390,12
2021-08-04,10365,10435,10365,10430,36
2021-08-05,10400,10435,10400,10435,106
2021-08-06,10425,10445,10410,10445,139
2021-08-09,10385,10425,10380,10425,23
2021-08-10,10385,10390,10365,10380,218
2021-08-11,10325,10340,10305,10315,226
2021-08-12,10310,10310,10250,10275,238
2021-08-13,10245,10245,10190,10205,1165
2021-08-17,10220,10220,10115,10145,1376
2021-08-18,10125,10210,10115,10210,336
2021-08-19,10160,10165,10125,10140,85
2021-08-20,10125,10160,10090,10115,328
2021-08-23,10130,10170,10115,10165,158
2021-08-24,10180,10230,10170,10220,1050
2021-08-25,10230,10230,10190,10215,940
2021-08-26,10220,10230,10165,10195,123
2021-08-27,10150,10200,10145,10200,438
2021-08-30,10240,10250,10220,10220,47
2021-08-31,10220,10295,10215,10290,50
2021-09-01,10290,10310,10285,10310,211
2021-09-02,10300,10300,10255,10275,36
2021-09-03,10290,10320,10290,10310,30
2021-09-06,10300,10305,10285,10305,72
2021-09-07,10270,10305,10270,10305,51
2021-09-08,10230,10250,10215,10225,595
2021-09-09,10185,10200,10175,10200,4040
2021-09-10,10165,10205,10160,10205,50
2021-09-13,10150,10155,10115,10145,197
2021-09-14,10160,10190,10160,10190,31
2021-09-15,10180,10190,10155,10190,28
2021-09-16,10205,10225,10185,10185,223
2021-09-17,10150,10150,10085,10150,173
2021-09-23,10080,10140,10050,10140,468
2021-09-24,10150,10150,10110,10140,110
2021-09-27,10110,10140,10110,10140,45
2021-09-28,10085,10095,10065,10065,1490
2021-09-29,10020,10090,10020,10090,289
2021-09-30,10015,10070,10015,10070,147
2021-10-01,10070,10070,10020,10040,219
2021-10-05,10040,10055,10020,10035,126
2021-10-06,10025,10040,9985,10000,244
2021-10-07,10005,10020,10000,10015,150
2021-10-08,10015,10015,9965,9985,4051
2021-10-12,9940,9955,9920,9950,3079
2021-10-13,9975,9995,9970,9995,1332
2021-10-14,10035,10055,10020,10055,118
2021-10-15,10055,10085,10055,10085,432
2021-10-18,10070,10070,10030,10040,283
2021-10-19,10075,10120,10075,10120,1431
2021-10-20,10140,10170,10120,10155,473
2021-10-21,10135,10135,10120,10130,469
2021-10-22,10100,10130,10095,10130,112
2021-10-25,10105,10200,10105,10200,802
2021-10-26,10205,10235,10205,10215,99
2021-10-27,10215,10215,10165,10165,122
2021-10-28,10150,10175,10150,10175,26
2021-10-29,10200,10205,10185,10205,759
2021-11-01,10145,10150,10110,10135,145
2021-11-02,10140,10150,10125,10150,98
2021-11-03,10085,10090,10080,10090,1026
2021-11-04,10115,10115,10080,10080,28
2021-11-05,10055,10065,10045,10060,177
2021-11-08,10080,10080,10045,10075,177
2021-11-09,10095,10130,10095,10130,134
2021-11-10,10100,10100,10065,10100,43
2021-11-11,10045,10090,10045,10090,450
2021-11-12,10090,10120,10090,10110,64
2021-11-15,10070,10120,10070,10120,142
2021-11-16,10075,10110,10075,10110,152
2021-11-17,10075,10085,10045,10085,843
2021-11-18,10085,10120,10085,10120,505
2021-11-19,10095,10095,10055,10060,154
2021-11-22,10010,10065,10010,10065,522
2021-11-23,10020,10030,10010,10015,228
2021-11-24,10030,10050,10020,10050,39
2021-11-25,10005,10025,10005,10025,24
2021-11-26,9995,9995,9975,9995,66
2021-11-29,9975,10000,9975,10000,655
2021-11-30,10055,10055,10035,10045,78
2021-12-01,10060,10120,10060,10120,5691
2021-12-02,10125,10145,10125,10145,271
2021-12-03,10105,10140,10095,10110,513
2021-12-06,10070,10090,10045,10085,106
2021-12-07,10085,10115,10085,10115,14
2021-12-08,10110,10145,10110,10145,33
2021-12-09,10160,10165,10155,10160,43
2021-12-10,10110,10135,10100,10100,145
2021-12-13,10115,10125,10105,10105,29
2021-12-14,10075,10085,10060,10085,55
2021-12-15,10070,10070,10035,10050,576
2021-12-16,10085,10085,10070,10080,36
2021-12-17,10050,10105,10040,10105,368
2021-12-20,10030,10030,10000,10015,29
2021-12-21,10000,10015,9985,10000,525
2021-12-22,10015,10015,9995,10005,626
2021-12-23,10035,10055,10025,10050,67
2021-12-24,10045,10060,10045,10060,29
2021-12-27,10060,10060,10040,10055,26
2021-12-28,10040,10050,10035,10045,47
2021-12-29,10040,10055,10040,10055,26
2021-12-30,10060,10060,10030,10030,59
2022-01-03,10040,10040,9985,10015,65
2022-01-04,9975,9995,9975,9995,94
2022-01-05,9965,9970,9935,9945,1547
2022-01-06,9915,9955,9915,9940,372
2022-01-07,9920,9935,9910,9935,3086
2022-01-10,9955,9955,9935,9935,143
2022-01-11,9955,9995,9955,9995,280
2022-01-12,10015,10025,10010,10025,141
2022-01-13,10030,10035,10015,10035,522
2022-01-14,10025,10055,10025,10055,12994
2022-01-17,10015,10015,10010,10010,6
2022-01-18,10010,10040,10010,10025,12
2022-01-19,9985,10020,9985,10020,9
2022-01-20,10010,10015,10010,10015,502
2022-01-21,10000,10000,9990,10000,6010
2022-01-24,9980,9980,9980,9980,53
2022-01-25,9980,9980,9950,9950,129
2022-01-26,9950,9960,9950,9960,13
2022-01-27,9935,9935,9915,9925,564
2022-01-28,9915,9915,9890,9900,863
2022-02-03,9925,9925,9900,9900,500
2022-02-04,9935,9975,9935,9975,768
2022-02-07,9965,9965,9945,9945,234
2022-02-08,9970,9970,9970,9970,71
2022-02-09,9970,9990,9970,9985,457
2022-02-10,9985,9985,9985,9985,4
2022-02-11,9950,9970,9950,9970,514
2022-02-14,10000,10000,10000,10000,2
2022-02-15,9980,9980,9955,9955,25
2022-02-16,9965,9975,9965,9975,44
2022-02-17,9975,9985,9960,9985,42
2022-02-18,9970,9985,9965,9985,38
2022-02-21,9945,10025,9945,10025,713
2022-02-22,9975,10015,9975,10015,517
2022-02-23,10015,10015,10000,10000,532
2022-02-24,9980,9980,9925,9940,1069
2022-02-25,9930,9945,9930,9945,1110
2022-02-28,9930,9935,9890,9935,762
2022-03-02,9910,9930,9910,9910,547
2022-03-03,9920,9920,9920,9920,2
2022-03-04,9880,9880,9845,9845,2320
2022-03-07,9775,9795,9730,9730,2004
2022-03-08,9705,9705,9650,9655,2983
2022-03-10,9745,9745,9710,9710,2094
2022-03-11,9710,9710,9675,9700,1304
2022-03-14,9670,9675,9625,9625,6618
2022-03-15,9635,9635,9605,9615,1285
2022-03-16,9625,9675,9610,9675,1568
2022-03-17,9760,9840,9740,9840,14341
2022-03-18,9840,9895,9815,9895,10205
2022-03-21,9855,9860,9825,9825,1665
2022-03-22,9780,9810,9755,9810,184
2022-03-23,9825,9860,9825,9845,284
2022-03-24,9790,9810,9785,9810,49
2022-03-25,9795,9800,9795,9800,522
2022-03-28,9750,9750,9735,9735,740
2022-03-29,9795,9795,9795,9795,2
2022-03-30,9850,9890,9850,9870,1576
2022-03-31,9860,9860,9855,9855,114
2022-04-01,9825,9830,9810,9830,17
2022-04-04,9795,9840,9795,9840,257
2022-04-05,9840,9850,9840,9850,1017
2022-04-06,9800,9805,9795,9805,6
2022-04-07,9795,9800,9795,9800,3
2022-04-08,9765,9770,9740,9750,1594
2022-04-11,9710,9710,9680,9690,2331
2022-04-12,9675,9675,9645,9665,23
2022-04-13,9705,9745,9705,9730,532
