date,open,high,low,close,volume
2021-06-01,11150,11200,11050,11200,1115860
2021-06-02,11200,11250,11100,11250,1967544
2021-06-03,11250,11400,11200,11350,2273857
2021-06-04,11300,11800,11300,11600,3627664
2021-06-07,11600,11700,11500,11650,1603072
2021-06-08,11700,11750,11600,11650,1488815
2021-06-09,11600,11700,11500,11550,1617817
2021-06-10,11450,11550,11400,11400,2268582
2021-06-11,11350,11450,11250,11400,2261261
2021-06-14,11400,11450,11250,11300,1593112
2021-06-15,11250,11450,11150,11450,2011985
2021-06-16,11500,11950,11450,11900,3850099
2021-06-17,11950,12050,11700,11800,2406963
2021-06-18,11700,11750,11500,11600,3666947
2021-06-21,11400,11500,11250,11300,2514557
2021-06-22,11450,11550,11400,11450,1891760
2021-06-23,11450,11500,11300,11350,1600983
2021-06-24,11350,11650,11350,11650,1749084
2021-06-25,11750,11850,11750,11850,2048514
2021-06-28,11900,12100,11800,11950,2870340
2021-06-29,11750,11800,11600,11600,1834645
2021-06-30,11650,11650,11400,11450,2025219
2021-07-01,11500,11550,11400,11450,1397567
2021-07-02,11450,11600,11450,11550,1249393
2021-07-05,11650,11700,11550,11600,1514389
2021-07-06,11650,11700,11550,11600,1238666
2021-07-07,11550,11600,11350,11450,1985699
2021-07-08,11400,11650,11400,11450,1797210
2021-07-09,11300,11350,11000,11150,3186277
2021-07-12,11250,11450,11200,11250,1929374
2021-07-13,11350,11450,11300,11400,1266617
2021-07-14,11350,11400,11250,11350,998476
2021-07-15,11350,11400,11250,11350,1143805
2021-07-16,11350,11400,11250,11350,1053379
2021-07-19,11350,11350,11250,11300,1205816
2021-07-20,11100,11250,11100,11250,1092941
2021-07-21,11300,11400,11200,11250,1488310
2021-07-22,11500,11650,11450,11650,3901897
2021-07-23,11400,11450,11200,11200,36701721
2021-07-26,11200,11250,11000,11000,3983685
2021-07-27,11100,11200,11050,11100,2944072
2021-07-28,11050,11150,11000,11100,3192146
2021-07-29,11100,11150,11000,11050,3295893
2021-07-30,11050,11100,10850,10850,3326823
2021-08-02,10900,10950,10800,10850,1608934
2021-08-03,10850,10950,10800,10950,1754510
2021-08-04,11000,11200,10950,11200,2789648
2021-08-05,11150,11200,11050,11050,1974282
2021-08-06,11100,11200,11000,11050,2029751
2021-08-09,11150,11200,11100,11100,2017747
2021-08-10,11150,11250,11000,11100,2144479
2021-08-11,11150,11300,11100,11250,3163116
2021-08-12,11300,11350,11150,11200,2936782
2021-08-13,11300,11300,11000,11100,2491841
2021-08-17,11050,11150,10950,11050,2471075
2021-08-18,11050,11100,11000,11050,2032249
2021-08-19,11000,11050,10700,10750,3094696
2021-08-20,10750,10800,10450,10550,2815436
2021-08-23,10600,10800,10550,10700,1637399
2021-08-24,10800,11000,10750,10950,2153553
2021-08-25,10950,11050,10900,11000,1536421
2021-08-26,11050,11200,11000,11200,2326079
2021-08-27,11150,11350,11100,11350,2173145
2021-08-30,11350,11400,11050,11050,2422974
2021-08-31,11050,11250,10900,11250,3037236
2021-09-01,11200,11300,11100,11300,1627546
2021-09-02,11200,11350,11200,11250,2585524
2021-09-03,11300,11300,11150,11250,1604712
2021-09-06,11250,11300,11050,11100,2306295
