date,open,high,low,close,volume
2021-06-01,35586,35979,35512,35937,204844
2021-06-02,36028,36097,35749,35841,115593
2021-06-03,35939,36932,35876,36775,368687
2021-06-04,36493,36541,36111,36461,236600
2021-06-07,36846,36870,36298,36417,194788
2021-06-08,36346,36346,35943,36013,190395
2021-06-09,35907,35941,35336,35341,225789
2021-06-10,35328,35721,35227,35514,145375
2021-06-11,35766,35926,35607,35865,161555
2021-06-14,35815,35897,35618,35690,117517
2021-06-15,35921,36008,35821,35846,134312
2021-06-16,35842,36059,35726,36028,122318
2021-06-17,35766,36294,35669,36219,126546
2021-06-18,36424,36754,36372,36373,170045
2021-06-21,35956,36092,35744,35836,179866
2021-06-22,36040,36161,35828,35873,132585
2021-06-23,36067,36192,35941,36092,169321
2021-06-24,36154,36358,36018,36243,256178
2021-06-25,36472,36724,36462,36668,181258
2021-06-28,36759,36813,36527,36611,162680
2021-06-29,36826,37054,36745,36819,211493
2021-06-30,37055,37394,36885,37343,320263
2021-07-01,37360,37365,37036,37047,150365
2021-07-02,36880,37001,36643,36693,178297
2021-07-05,36797,37160,36734,37037,146995
2021-07-06,37069,37476,37035,37202,197496
2021-07-07,37199,37199,36777,37032,123791
2021-07-08,36992,37142,36348,36451,207650
2021-07-09,35955,36152,35522,36058,457304
2021-07-12,36342,36458,36172,36271,285235
2021-07-13,36341,36709,36287,36658,130777
2021-07-14,36484,36706,36260,36640,135157
2021-07-15,36638,37286,36638,37240,235934
2021-07-16,37012,37012,36532,36713,183574
2021-07-19,36347,36720,36186,36678,118655
2021-07-20,36254,36864,36254,36542,165955
2021-07-21,36832,36832,36298,36422,87644
2021-07-22,36792,37641,36792,37348,419073
2021-07-23,37563,37568,37225,37275,113570
2021-07-26,37550,37589,36944,37077,106730
2021-07-27,37170,37501,36939,37028,118953
2021-07-28,36643,36929,36076,36446,283958
2021-07-29,36580,36744,36207,36441,143064
2021-07-30,36357,36357,35995,36000,225131
2021-08-02,36177,36846,36177,36775,277451
2021-08-03,36885,37651,36773,37478,298480
2021-08-04,37806,37821,37317,37576,242554
2021-08-05,37631,37863,37583,37807,202765
2021-08-06,37800,37903,37569,37658,90721
2021-08-09,37674,37862,37490,37856,155989
2021-08-10,37863,37912,37117,37235,143945
2021-08-11,36794,36794,35806,35856,525351
2021-08-12,35519,35554,35075,35226,494465
2021-08-13,35063,35238,34050,34624,498849
2021-08-17,34680,34971,34219,34347,280103
2021-08-18,34176,34845,33875,34798,217123
2021-08-19,34383,34796,33720,33741,255360
2021-08-20,34010,34218,33230,33344,265035
2021-08-23,33792,33923,33366,33708,133727
2021-08-24,34121,34645,34059,34647,209805
2021-08-25,35272,35316,34270,34581,167506
2021-08-26,34947,35038,34584,34604,120358
2021-08-27,34485,34737,34175,34531,82594
2021-08-30,34985,35068,34525,34604,71887
2021-08-31,34568,34991,34332,34992,96020
2021-09-01,35073,35144,34781,35123,104712
2021-09-02,35140,35204,34796,34866,73469
2021-09-03,34869,35213,34753,35065,103157
2021-09-06,35097,35234,34856,34953,55531
2021-09-07,34994,35018,34481,34638,88949
2021-09-08,34544,34574,34229,34503,70937
2021-09-09,34341,34472,33803,33887,141014
2021-09-10,33884,34159,33685,34148,105899
2021-09-13,34025,34118,33682,33848,88747
2021-09-14,34006,34272,33860,34202,85493
2021-09-15,34195,34195,33933,34129,82945
2021-09-16,34263,34263,33618,33678,81520
2021-09-17,33595,34229,33256,34212,124884
2021-09-23,33918,34064,33604,33605,102112
2021-09-24,33744,33870,33351,33421,83161
2021-09-27,33313,33396,33149,33262,107875
2021-09-28,33134,33260,32399,32404,182948
2021-09-29,31437,31801,31316,31769,270606
2021-09-30,31642,31980,31491,31890,169850
2021-10-01,31640,31838,31059,31211,81396
2021-10-05,30594,30880,30336,30688,152431
2021-10-06,30831,30982,29726,29927,190192
2021-10-07,30041,30681,30041,30601,203017
2021-10-08,30759,30812,30027,30092,92382
