date,open,high,low,close,volume
2021-06-01,12915,12960,12905,12960,194071
2021-06-02,12861,12876,12826,12846,341761
2021-06-03,12910,12925,12846,12846,162781
2021-06-04,12667,12672,12562,12662,348580
2021-06-07,12781,12806,12746,12746,245414
2021-06-08,12846,12886,12826,12831,206495
2021-06-09,12826,12836,12801,12801,122754
2021-06-10,12786,12796,12746,12766,155769
2021-06-11,12846,12876,12841,12871,163144
2021-06-14,12687,12687,12592,12597,279428
2021-06-15,12617,12647,12567,12632,163337
2021-06-16,12572,12587,12537,12577,115439
2021-06-17,12303,12343,12254,12259,318359
2021-06-18,12000,12070,11990,12065,395543
2021-06-21,11955,12010,11930,12005,295819
2021-06-22,12040,12090,12015,12030,170169
2021-06-23,12000,12045,12000,12025,119393
2021-06-24,12005,12020,11975,12005,151492
2021-06-25,11975,12025,11970,12010,155130
2021-06-28,12025,12055,11950,12050,167017
2021-06-29,12005,12010,11975,11995,126847
2021-06-30,11895,11915,11846,11881,1186298
2021-07-01,11910,12010,11910,12010,302109
2021-07-02,11990,12020,11980,12005,161898
2021-07-05,12055,12085,12045,12060,179687
2021-07-06,12090,12199,12090,12199,161316
2021-07-07,12124,12174,12109,12174,163831
2021-07-08,12179,12189,12124,12144,148835
2021-07-09,12174,12204,12144,12144,248078
2021-07-12,12194,12229,12154,12164,198112
2021-07-13,12194,12244,12194,12234,131793
2021-07-14,12209,12254,12189,12249,133485
2021-07-15,12333,12378,12318,12378,202213
2021-07-16,12363,12368,12313,12333,111257
2021-07-19,12264,12269,12179,12189,150007
2021-07-20,12224,12284,12224,12274,173743
2021-07-21,12224,12244,12189,12244,156552
2021-07-22,12169,12169,12129,12154,183901
2021-07-23,12199,12209,12159,12199,76196
2021-07-26,12199,12219,12144,12204,106544
2021-07-27,12139,12149,12109,12114,108391
2021-07-28,12144,12204,12129,12189,99126
2021-07-29,12214,12274,12204,12264,223820
2021-07-30,12353,12358,12328,12343,284985
2021-08-02,12234,12254,12194,12199,147193
2021-08-03,12224,12234,12204,12204,85368
2021-08-04,12209,12239,12194,12229,157205
2021-08-05,12214,12219,12189,12209,68532
2021-08-06,12159,12164,12124,12139,111989
2021-08-09,11602,11771,11522,11766,1092332
2021-08-10,11672,11711,11657,11701,278855
2021-08-11,11632,11691,11617,11662,232567
2021-08-12,11801,11816,11781,11816,146125
2021-08-13,11826,11856,11806,11856,171793
2021-08-17,12045,12085,12025,12085,339631
2021-08-18,12050,12085,12030,12085,120098
2021-08-19,12055,12055,11960,11985,235876
2021-08-20,11995,12060,11995,12055,175821
2021-08-23,11980,12055,11965,12040,219928
2021-08-24,12159,12169,12139,12164,287672
2021-08-25,12139,12154,12075,12114,350310
2021-08-26,12070,12080,12025,12035,81015
2021-08-27,12085,12164,12085,12164,188317
2021-08-30,12254,12293,12224,12234,185591
2021-08-31,12209,12254,12199,12254,120712
2021-09-01,12239,12249,12204,12249,108501
2021-09-02,12209,12239,12199,12234,59569
2021-09-03,12189,12229,12189,12224,72567
2021-09-06,12308,12318,12298,12318,130703
2021-09-07,12293,12313,12239,12249,70658
2021-09-08,12104,12134,12090,12099,101914
2021-09-09,12055,12065,12035,12040,69730
2021-09-10,12085,12154,12075,12144,73457
2021-09-13,12040,12085,12020,12060,157535
2021-09-14,12070,12085,12055,12075,55385
2021-09-15,12144,12154,12134,12139,63800
2021-09-16,12080,12099,12015,12025,71278
2021-09-17,11816,11876,11811,11871,179467
2021-09-23,11890,11905,11846,11876,135698
2021-09-24,11756,11821,11746,11816,84331
2021-09-27,11781,11846,11761,11826,103914
2021-09-28,11786,11806,11721,11721,135373
2021-09-29,11672,11721,11667,11706,176219
2021-09-30,11637,11672,11627,11642,171370
2021-10-01,11796,11831,11776,11811,265777
2021-10-05,11895,11900,11821,11836,195706
2021-10-06,11846,11846,11786,11796,163503
