date,open,high,low,close,volume
2021-06-01,29713,29931,29658,29822,109384
2021-06-02,29922,29996,29788,29845,191778
2021-06-03,29912,30161,29912,30067,57228
2021-06-04,29963,30075,29834,29998,20455
2021-06-07,30182,30240,29972,30182,48876
2021-06-08,30186,30245,30061,30062,21602
2021-06-09,30060,30087,29853,29854,10213
2021-06-10,29899,30010,29784,29933,8743
2021-06-11,29968,30134,29946,30081,12179
2021-06-14,30129,30129,29991,30098,740089
2021-06-15,30193,30226,30077,30205,12249
2021-06-16,30203,30402,30199,30339,469058
2021-06-17,30282,30282,30106,30261,115996
2021-06-18,30269,30357,30233,30233,76091
2021-06-21,30064,30115,29911,30001,33991
2021-06-22,30185,30240,30160,30200,16916
2021-06-23,30337,30407,30203,30362,8828
2021-06-24,30366,30519,30362,30474,43057
2021-06-25,30544,30687,30506,30551,52053
2021-06-28,30605,30648,30489,30561,62073
2021-06-29,30637,30641,30429,30501,63124
2021-06-30,30563,30688,30550,30644,863000
2021-07-01,30670,30670,30417,30427,49184
2021-07-02,30433,30592,30433,30515,2289
2021-07-05,30531,30623,30531,30561,4005
2021-07-06,30656,30777,30604,30649,35264
2021-07-07,30671,30671,30408,30464,40902
2021-07-08,30638,30652,30194,30247,16205
2021-07-09,29967,30046,29620,29923,360500
2021-07-12,30069,30182,30060,30182,375455
2021-07-13,30237,30397,30237,30335,57558
2021-07-14,30244,30305,30217,30274,50128
2021-07-15,30278,30555,30278,30556,54000
2021-07-16,30438,30438,30273,30381,52796
2021-07-19,30167,30217,30033,30085,63332
2021-07-20,29866,30056,29856,30057,186312
2021-07-21,30088,30162,29838,29863,39540
2021-07-22,30011,30235,30011,30144,21058
2021-07-23,30274,30291,30130,30187,21621
2021-07-26,30329,30329,29927,29998,28972
2021-07-27,30161,30212,30037,30067,542863
2021-07-28,30009,30129,29876,30113,18758
2021-07-29,30153,30209,30014,30081,94530
2021-07-30,30079,30079,29702,29702,132662
2021-08-02,29848,29941,29667,29900,190973
2021-08-03,29898,30112,29881,30113,109725
2021-08-04,30203,30514,30106,30515,97515
2021-08-05,30523,30601,30383,30395,57618
2021-08-06,30524,30574,30302,30349,43092
2021-08-09,30356,30417,30194,30247,122655
2021-08-10,30263,30342,29996,30067,64376
2021-08-11,29973,30171,29890,29891,46130
2021-08-12,29887,29978,29758,29758,63508
2021-08-13,29834,29834,29210,29471,84919
2021-08-17,29454,29546,29140,29188,96471
2021-08-18,29210,29542,29062,29392,113143
2021-08-19,29215,29372,28731,28731,83048
2021-08-20,28954,28978,28327,28467,176607
2021-08-23,28673,28914,28507,28754,688014
2021-08-24,28983,29219,28927,29188,262446
2021-08-25,29301,29399,29062,29253,257264
2021-08-26,29270,29371,28993,29050,75728
2021-08-27,28996,29186,28881,29059,12224
2021-08-30,29362,29389,29104,29249,19331
2021-08-31,29275,29682,29076,29683,18444
2021-09-01,29681,29852,29603,29789,18021
2021-09-02,29761,29774,29483,29503,38308
2021-09-03,29565,29760,29565,29683,10183
2021-09-06,29682,29784,29599,29743,24802
2021-09-07,29723,29742,29502,29559,13710
2021-09-08,29482,29584,29362,29392,11003
2021-09-09,29297,29325,28878,28879,37234
2021-09-10,28913,29103,28830,29077,59316
2021-09-13,28854,29185,28854,29086,72012
2021-09-14,29104,29417,29104,29198,72231
2021-09-15,29275,29339,29126,29249,86340
2021-09-16,29349,29410,29058,29106,58526
2021-09-17,29105,29207,28910,29207,35549
2021-09-23,28987,29107,28881,29059,90591
2021-09-24,29121,29199,28978,29059,38922
2021-09-27,29043,29230,28973,29137,485476
2021-09-28,29139,29139,28715,28722,459265
2021-09-29,28342,28569,28218,28496,515137
2021-09-30,28453,28664,28355,28560,129106
2021-10-01,28525,28525,28045,28047,50610
2021-10-05,27743,27873,27356,27589,84997
2021-10-06,27739,27832,27083,27099,161118
2021-10-07,27305,27568,27217,27562,74632
2021-10-08,27681,27727,27458,27539,30779
2021-10-12,27365,27411,27000,27169,20522
2021-10-13,27141,27482,27099,27428,35421
2021-10-14,27711,27762,27633,27746,8211
2021-10-15,27958,28106,27884,28070,150963
2021-10-18,28189,28189,27805,27964,16218
2021-10-19,28146,28234,28022,28144,73910
2021-10-20,28271,28317,27989,28005,60943
2021-10-21,28053,28141,27951,27996,351536
2021-10-22,27971,28097,27856,27922,8897
2021-10-25,27919,28109,27726,28047,6507
2021-10-26,28234,28396,28161,28352,11396
2021-10-27,28322,28331,28044,28111,286407
2021-10-28,28110,28235,27984,28019,37648
2021-10-29,28091,28178,27546,27603,20545
2021-11-01,27768,27846,27676,27737,232963
2021-11-02,27809,28216,27809,28010,13412
2021-11-03,28124,28124,27592,27622,99052
