date,open,high,low,close,volume
2021-06-01,84500,85500,84400,85300,727684
2021-06-02,85300,85400,84500,85000,439596
2021-06-03,84700,85000,83800,83800,697800
2021-06-04,83600,83900,83300,83600,487387
2021-06-07,84000,84700,83700,84500,459390
2021-06-08,84700,85200,84600,85000,506186
2021-06-09,85000,85200,84200,84300,420131
2021-06-10,84400,84700,83900,83900,536708
2021-06-11,83900,84500,83800,84400,381544
2021-06-14,84600,84800,84200,84300,309273
2021-06-15,84300,85100,84300,85100,445779
2021-06-16,85100,85300,84600,85200,370734
2021-06-17,85000,85200,84700,84700,443301
2021-06-18,84800,85100,84400,85000,395532
2021-06-21,84800,85200,84300,84400,536723
2021-06-22,84600,84800,84000,84000,567213
2021-06-23,84100,84300,83900,83900,397338
2021-06-24,84000,84500,83900,84500,416767
2021-06-25,84500,85000,84400,84700,459357
2021-06-28,84800,84900,84300,84700,370265
2021-06-29,84600,84800,84200,84300,438738
2021-06-30,84400,84600,84200,84400,437308
2021-07-01,84400,84600,84300,84500,412780
2021-07-02,84400,84500,84100,84500,268391
2021-07-05,84500,84600,84100,84200,301792
2021-07-06,84200,84400,84100,84200,270768
2021-07-07,84000,84100,83500,83600,539627
2021-07-08,83600,83700,83000,83000,576366
2021-07-09,82600,82800,82000,82200,835703
2021-07-12,82600,83600,82500,83600,351486
2021-07-13,83800,83900,83300,83800,314605
2021-07-14,83300,83600,82900,82900,320782
2021-07-15,83000,83700,82800,83400,307299
2021-07-16,83000,83700,82900,83700,263512
2021-07-19,83500,83700,83000,83300,263465
2021-07-20,82800,83200,82500,82600,394666
2021-07-21,82900,83100,82600,83000,362565
2021-07-22,83000,83200,82700,82900,357184
2021-07-23,82700,83200,82700,82900,226455
2021-07-26,82900,83000,82500,82600,264781
2021-07-27,82500,82900,82500,82600,301693
2021-07-28,82700,82800,82400,82600,313687
2021-07-29,82900,83000,82500,82700,215163
2021-07-30,82500,82600,82300,82300,346804
2021-08-02,82600,82700,82300,82600,231296
2021-08-03,82500,82700,82200,82600,311672
