date,open,high,low,close,volume
2021-06-01,16951,17089,16857,17003,453614
2021-06-02,17025,17105,16893,16919,257414
2021-06-03,16918,17180,16913,17147,235804
2021-06-04,17082,17175,17007,17172,273467
2021-06-07,17215,17310,17102,17197,293903
2021-06-08,17194,17209,17071,17107,277882
2021-06-09,17119,17184,16981,17003,199682
2021-06-10,16971,17139,16887,17132,216198
2021-06-11,17156,17563,17156,17516,627949
2021-06-14,17540,17628,17500,17600,412572
2021-06-15,17633,17787,17560,17620,590497
2021-06-16,17575,17618,17525,17580,328038
2021-06-17,17528,17845,17478,17833,669160
2021-06-18,17843,18046,17843,18013,1104637
2021-06-21,17853,18071,17729,17993,638007
2021-06-22,18030,18080,17807,17938,509532
2021-06-23,17945,18291,17930,18225,1453173
2021-06-24,18291,18446,18208,18280,1379673
2021-06-25,18401,18456,18188,18215,647624
2021-06-28,18227,18302,18066,18106,523433
2021-06-29,18134,18311,18134,18280,561062
2021-06-30,18279,18467,18274,18410,892339
2021-07-01,18436,18491,18218,18365,775673
2021-07-02,18361,18451,18178,18245,478553
2021-07-05,18243,18426,18243,18375,548783
2021-07-06,18419,18527,18399,18515,699900
2021-07-07,18512,18734,18397,18673,4246457
2021-07-08,18725,18755,18393,18574,1321271
2021-07-09,18372,18781,18154,18783,1694374
2021-07-12,18817,18880,18587,18853,2988534
2021-07-13,18896,19290,18876,19290,7449165
2021-07-14,19149,19621,19139,19564,4694712
2021-07-15,19638,19895,19553,19773,2434996
2021-07-16,19772,20029,19687,20017,2342754
2021-07-19,19905,20261,19816,20235,2933319
2021-07-20,19915,20293,19483,19798,3179364
2021-07-21,19945,19995,19603,19823,2082929
2021-07-22,19886,20014,19692,19952,1514255
2021-07-23,19970,20251,19970,20145,1369819
2021-07-26,20184,20378,20002,20107,1743885
2021-07-27,20251,20356,19975,20170,1195478
2021-07-28,19936,20178,19752,19972,1490338
2021-07-29,20050,20147,19925,20135,1221949
2021-07-30,20159,20298,19942,20037,1379386
2021-08-02,20037,20114,19703,20047,966016
2021-08-03,20084,20322,19787,19887,861932
2021-08-04,19885,19915,19404,19823,1490764
2021-08-05,19781,20177,19701,20120,767920
2021-08-06,20219,20328,20052,20102,733254
2021-08-09,20073,20757,19943,20661,6014206
2021-08-10,20762,20792,20405,20751,1647804
2021-08-11,20611,20813,20521,20642,1691755
2021-08-12,20740,21291,20740,21239,6176601
2021-08-13,21276,21396,20889,21179,4563933
2021-08-17,21093,21113,20154,20235,4785208
2021-08-18,20098,20722,19948,20706,3544632
2021-08-19,20452,20994,20412,20523,3263213
2021-08-20,20649,20808,20118,20324,2993998
2021-08-23,20426,20501,19970,20180,2060535
2021-08-24,20367,20512,19364,19798,2385219
2021-08-25,19845,20144,19686,20145,1893656
2021-08-26,20173,20228,19767,19952,1507620
2021-08-27,19762,20034,19657,19972,1169021
2021-08-30,20134,20154,19643,19758,1515001
2021-08-31,19835,20395,19830,20359,1687139
2021-09-01,20386,20391,20020,20125,1248665
2021-09-02,20035,20035,19498,19554,2452698
2021-09-03,19557,19939,19457,19927,1228633
2021-09-06,19995,20351,19890,20150,1219912
2021-09-07,20163,20679,20158,20623,2470286
2021-09-08,20684,20797,20550,20691,1393966
2021-09-09,20824,21126,20734,20851,4529949
2021-09-10,20955,21447,20846,21424,6243294
2021-09-13,21357,22310,21322,22035,9557736
2021-09-14,22113,22349,21735,22293,2903671
2021-09-15,22291,22458,22042,22452,2764320
2021-09-16,22458,22727,22206,22327,4523758
2021-09-17,22329,22419,21884,22228,4019598
2021-09-23,21824,22443,21824,22402,2273386
2021-09-24,22779,23166,22700,23055,6464268
2021-09-27,23171,23665,23098,23666,4742922
2021-09-28,23618,23688,23077,23327,4491065
2021-09-29,22625,23589,22625,23502,5833989
2021-09-30,23216,23603,22958,23556,5530303
2021-10-01,23419,23653,23201,23282,4124574
2021-10-05,22919,23251,22615,23095,3212995
2021-10-06,23320,23454,21720,21890,5398695
2021-10-07,22156,22305,21082,21930,4291365
2021-10-08,22103,22669,22093,22213,4109165
2021-10-12,22197,22349,22078,22253,1807782
2021-10-13,22252,23107,22252,23065,2968671
2021-10-14,23222,23574,23068,23352,3459108
2021-10-15,23465,23579,23068,23337,2138386
2021-10-18,23420,23729,23337,23412,2962644
2021-10-19,23655,23928,23585,23770,4492139
2021-10-20,23898,23918,23252,23342,3939109
2021-10-21,23339,23404,22524,22735,6205681
2021-10-22,22554,22941,22479,22715,4237890
2021-10-25,22579,22771,22047,22740,3118257
