date,open,high,low,close,volume
2021-06-01,818000,830000,818000,825000,175369
2021-06-02,826000,826000,805000,807000,322361
2021-06-03,807000,818000,803000,812000,264741
2021-06-04,810000,810000,803000,809000,245210
2021-06-07,813000,819000,808000,814000,188145
2021-06-08,812000,814000,806000,808000,196826
2021-06-09,807000,810000,801000,802000,147055
2021-06-10,803000,808000,795000,807000,288927
2021-06-11,809000,850000,807000,850000,507734
2021-06-14,841000,842000,824000,827000,220818
2021-06-15,834000,841000,817000,820000,256471
2021-06-16,820000,820000,806000,808000,297754
2021-06-17,819000,840000,815000,835000,467626
2021-06-18,835000,840000,821000,822000,252978
2021-06-21,812000,826000,807000,822000,144762
2021-06-22,825000,844000,824000,842000,243411
2021-06-23,846000,846000,825000,835000,220075
2021-06-24,837000,839000,827000,831000,188866
2021-06-25,841000,849000,835000,838000,199611
2021-06-28,838000,839000,830000,830000,89725
2021-06-29,840000,840000,830000,839000,196036
2021-06-30,848000,863000,841000,850000,309353
2021-07-01,851000,870000,843000,845000,327945
2021-07-02,850000,856000,845000,849000,132383
2021-07-05,856000,875000,851000,870000,221078
2021-07-06,874000,874000,863000,873000,156056
2021-07-07,880000,880000,866000,872000,139395
2021-07-08,873000,873000,854000,859000,220628
2021-07-09,859000,865000,830000,833000,277158
2021-07-12,842000,849000,833000,849000,151667
2021-07-13,860000,860000,840000,840000,160012
2021-07-14,846000,858000,837000,844000,235349
2021-07-15,844000,846000,817000,818000,371147
2021-07-16,820000,828000,818000,828000,215692
2021-07-19,827000,828000,820000,820000,126570
2021-07-20,810000,818000,809000,815000,104113
2021-07-21,823000,823000,810000,810000,146224
2021-07-22,820000,826000,815000,826000,232708
2021-07-23,835000,835000,820000,828000,149803
2021-07-26,827000,827000,815000,817000,182829
2021-07-27,827000,837000,823000,835000,326286
2021-07-28,831000,836000,827000,835000,252183
2021-07-29,843000,843000,831000,835000,142235
2021-07-30,845000,857000,836000,842000,318555
2021-08-02,848000,865000,830000,864000,314349
2021-08-03,872000,872000,850000,853000,224682
2021-08-04,846000,862000,832000,856000,227941
2021-08-05,849000,862000,845000,857000,228011
2021-08-06,859000,860000,841000,842000,181169
2021-08-09,843000,847000,835000,846000,162031
2021-08-10,852000,855000,840000,852000,200490
2021-08-11,855000,863000,842000,851000,232194
2021-08-12,861000,879000,856000,878000,448345
2021-08-13,882000,899000,878000,896000,398111
2021-08-17,900000,903000,885000,893000,286560
2021-08-18,907000,908000,885000,896000,166366
2021-08-19,892000,900000,887000,894000,250867
2021-08-20,903000,910000,892000,898000,220082
