date,open,high,low,close,volume
2021-06-01,58088,58528,56949,57127,315674
2021-06-02,57915,58002,56162,56338,366441
2021-06-03,56162,56600,55724,56251,259634
2021-06-04,56250,56776,55725,55726,224947
2021-06-07,56249,56424,55548,55900,210627
2021-06-08,55898,56336,55723,55900,180327
2021-06-09,56250,57125,55898,56251,301100
2021-06-10,56512,57389,56250,56777,404223
2021-06-11,57213,57563,56687,57127,255512
2021-06-14,57126,57476,56512,57040,165352
2021-06-15,57038,57038,56337,56338,142382
2021-06-16,56074,56336,55810,55900,191075
2021-06-17,55811,55811,55197,55287,261446
2021-06-18,55462,56075,55199,56076,299007
2021-06-21,55460,55548,54934,55374,281234
2021-06-22,55286,55725,55198,55462,134229
2021-06-23,55549,55636,54935,55024,252458
2021-06-24,55197,55461,55022,55287,155553
2021-06-25,55284,55810,55109,55374,169566
2021-06-28,55549,55549,55022,55112,149316
2021-06-29,55111,55812,55111,55726,200395
2021-06-30,55373,55811,55286,55287,179008
2021-07-01,55372,57914,55110,57477,774060
2021-07-02,57564,57652,56863,57565,293891
2021-07-05,57651,58001,56775,57127,259145
2021-07-06,57213,57301,56249,56426,207103
2021-07-07,56600,57214,56163,57040,239918
2021-07-08,57039,57039,55549,55638,271469
2021-07-09,55196,55548,53882,54147,483468
2021-07-12,54410,54936,54322,54499,117649
2021-07-13,54671,55022,54496,54761,118650
2021-07-14,54849,54937,54323,54412,145078
2021-07-15,54673,54848,54322,54499,195635
2021-07-16,54323,54499,54060,54412,182399
2021-07-19,54233,54321,53532,53622,230148
2021-07-20,53182,53620,53094,53534,205204
2021-07-21,53710,53798,53271,53448,147534
2021-07-22,53620,53884,53446,53885,138110
2021-07-23,53884,54323,53621,53973,89976
2021-07-26,54059,54322,53796,54060,165850
2021-07-27,54234,54497,54059,54060,135644
2021-07-28,54146,54322,53620,54060,147467
2021-07-29,54145,54847,54145,54761,189807
2021-07-30,54586,54586,53973,53973,163453
2021-08-02,54323,54760,54059,54323,144584
2021-08-03,54146,54322,53883,54060,126543
2021-08-04,53970,54496,53882,54235,143346
2021-08-05,54147,54587,54060,54412,158946
2021-08-06,54411,54498,53972,54323,118842
2021-08-09,53884,53972,53358,53710,208230
2021-08-10,53708,53708,52832,52921,288688
2021-08-11,53008,53272,52834,53185,169128
2021-08-12,53447,53709,53183,53360,197242
2021-08-13,53534,53622,52746,53185,205917
2021-08-17,53183,53797,52745,53360,241050
2021-08-18,53270,53447,53007,53360,107407
2021-08-19,53269,53269,51779,51869,259016
2021-08-20,51694,52044,50204,50205,329442
2021-08-23,50290,53446,50290,53096,235246
2021-08-24,53271,53533,52745,53272,183274
2021-08-25,52921,53798,52834,53798,161733
2021-08-26,53972,54060,52834,52834,194914
2021-08-27,53008,53710,52834,53448,119626
2021-08-30,53884,53884,53270,53360,104750
2021-08-31,53532,55372,53094,54761,561636
2021-09-01,54321,57301,54058,57127,796662
2021-09-02,57388,57388,56162,56251,374854
2021-09-03,56424,57213,56162,56601,258005
2021-09-06,56599,56949,55723,56513,171883
2021-09-07,56251,57390,56076,57303,296038
2021-09-08,57301,57563,56511,57127,327140
2021-09-09,57302,57389,55725,55726,366133
2021-09-10,55724,56688,55023,56338,275144
2021-09-13,56338,57390,55725,57303,356086
2021-09-14,57564,58090,56600,56777,248345
2021-09-15,56777,57477,56601,57303,196871
2021-09-16,57564,57564,56075,56777,195438
2021-09-17,56775,57212,56248,56513,333854
2021-09-23,56075,57126,55724,55813,185017
2021-09-24,55898,56074,54847,55112,222144
2021-09-27,54672,55636,54672,55024,180550
2021-09-28,55022,55022,53532,53622,347884
2021-09-29,53095,53709,52833,53360,214803
2021-09-30,53007,54146,52833,53885,198595
2021-10-01,53445,54145,53006,53534,179561
2021-10-05,53007,53358,51868,52133,328267
2021-10-06,52132,52482,50556,50556,247232
2021-10-07,50555,52570,50555,52133,183977
2021-10-08,52308,53007,51868,52133,237175
2021-10-12,52131,52131,50904,51432,189750
2021-10-13,51606,52132,51343,51695,185851
2021-10-14,52044,54322,51956,53885,319551
2021-10-15,53885,55024,53885,54587,209802
2021-10-18,54587,54849,53448,54587,178422
2021-10-19,54934,55635,54671,55374,166751
2021-10-20,55286,55373,54146,54499,185479
2021-10-21,54584,54758,54057,54147,100768
2021-10-22,54057,54934,53795,54147,107968
2021-10-25,53708,54145,53357,53622,102747
2021-10-26,54146,54760,53621,54323,113139
2021-10-27,54235,54586,53709,53973,72292
2021-10-28,54059,54059,53271,53272,134257
2021-10-29,53269,53445,52481,52483,162320
2021-11-01,52570,53007,51780,52571,142413
2021-11-02,52569,54322,52569,54060,205793
2021-11-03,54059,54146,53358,53885,98170
2021-11-04,53971,54584,53445,53534,133463
2021-11-05,53620,53796,52656,53096,153103
2021-11-08,52745,53183,52481,52746,132840
2021-11-09,52657,53533,52570,52834,102740
2021-11-10,52570,53007,52132,52133,124741
2021-11-11,51779,52392,51604,51781,161512
2021-11-12,51429,52218,51429,51781,141241
2021-11-15,51956,52920,51868,52746,121774
2021-11-16,52306,52919,51779,52483,153435
2021-11-17,52480,52831,51779,51781,151088
2021-11-18,51780,52219,51518,51519,150555
2021-11-19,51517,52656,51517,52395,121017
2021-11-22,51956,53183,51956,52746,141657
2021-11-23,52309,52746,52132,52221,136983
2021-11-24,51957,52921,51869,52309,118434
2021-11-25,52045,52482,51957,51958,106495
2021-11-26,51780,52745,51780,51958,123762
2021-11-29,51869,52921,51431,51607,181881
2021-11-30,51693,52044,50466,50643,351567
2021-12-01,50993,51255,50029,50556,208491
2021-12-02,50379,52745,50204,52658,236509
2021-12-03,52044,53184,51869,52834,180245
2021-12-06,53007,53183,51956,52658,151588
2021-12-07,53621,54498,52833,54323,326191
2021-12-08,54323,55024,54235,54587,220011
2021-12-09,54584,55986,54058,55988,424690
2021-12-10,55812,55987,55198,55550,120447
2021-12-13,55462,56250,55198,55462,178467
2021-12-14,55199,56251,55199,56076,169932
2021-12-15,55899,56338,55462,56164,131562
2021-12-16,56337,56864,56163,56689,186908
2021-12-17,56599,57475,56336,57477,300205
2021-12-20,57389,57739,56776,57040,178223
2021-12-21,57213,57563,56249,56338,188789
2021-12-22,56335,57212,56073,56513,161569
2021-12-23,56600,57038,55198,56426,158781
2021-12-24,56336,56863,56336,56601,123438
2021-12-27,56600,59141,56512,58967,577651
2021-12-28,58877,59579,58528,59142,429947
2021-12-29,59142,59142,57495,57678,367605
2021-12-30,57494,57677,56578,56854,242862
2022-01-03,56854,58135,56762,58045,174870
2022-01-04,58319,58319,56762,56946,175334
2022-01-05,56578,56670,55479,55938,220258
2022-01-06,55113,56304,55023,55023,183085
2022-01-07,55021,56211,54655,55663,162565
2022-01-10,55388,55937,54930,55389,116322
2022-01-11,55937,61522,55113,56213,1574878
2022-01-12,56670,57402,55937,57037,394075
2022-01-13,57035,57127,55936,56487,257484
2022-01-14,55663,55937,55205,55847,152716
2022-01-17,55206,56122,55023,55298,177421
2022-01-18,55023,56029,54748,55023,113049
2022-01-19,54840,55298,54107,54474,120537
2022-01-20,54565,55113,54290,54657,94210
2022-01-21,54198,54565,53557,53924,188482
2022-01-24,53282,54106,53282,54016,148649
2022-01-25,53650,53832,52643,52826,207395
2022-01-26,52732,53465,52367,52459,163364
2022-01-27,52915,53006,50352,50353,252653
2022-01-28,50903,51819,49896,51819,187908
2022-02-03,52642,53648,52183,52734,122896
2022-02-04,52367,53465,52275,53283,124668
2022-02-07,52733,52825,51909,52368,135898
2022-02-08,53099,53557,52642,53558,155053
2022-02-09,54016,54107,53008,53375,114946
2022-02-10,53374,53740,52733,52734,146003
2022-02-11,52368,52825,51819,52826,114860
2022-02-14,52550,52550,51359,51727,143755
2022-02-15,51726,52000,50810,51086,133962
2022-02-16,51360,53008,51269,52368,168088
2022-02-17,52001,52459,50811,51819,309558
2022-02-18,51543,52092,51176,51727,146450
2022-02-21,51177,52001,50994,51819,101952
2022-02-22,50993,51633,50809,51452,128286
2022-02-23,51818,52276,51452,51544,134312
2022-02-24,50993,51542,50809,51360,158436
2022-02-25,51635,52093,50994,51819,115413
2022-02-28,51818,53192,51452,53192,222511
2022-03-02,52825,53466,52367,52917,156942
2022-03-03,52917,53466,52825,53375,105830
2022-03-04,53192,53649,52825,53375,124466
2022-03-07,52367,52916,52092,52551,115635
2022-03-08,52457,53281,51450,53008,139026
2022-03-10,54016,54016,53192,53742,164562
