date,open,high,low,close,volume
2021-06-01,336484,340264,332704,332704,43290
2021-06-02,334121,334594,324670,331287,56863
2021-06-03,328920,332228,326558,327977,34531
2021-06-04,327030,332228,312852,316635,125600
2021-06-07,319469,323250,311907,313800,64135
2021-06-08,315219,318053,313800,315219,36627
2021-06-09,316161,317107,310017,310019,51503
2021-06-10,310490,312853,304819,310019,59932
2021-06-11,310963,311908,307655,308129,49818
2021-06-14,310017,313326,308600,312855,44756
2021-06-15,312854,313327,308128,310492,30566
2021-06-16,310962,312853,308127,309547,33229
2021-06-17,309547,310964,300567,304349,63487
2021-06-18,305763,307654,303400,307656,29708
2021-06-21,305292,306710,301511,306711,38228
2021-06-22,307656,308129,304349,304349,24364
2021-06-23,304346,308126,304346,305765,35089
2021-06-24,306710,310017,305764,306711,30500
2021-06-25,306710,312854,305764,308129,42496
2021-06-28,309073,309545,304819,306711,25118
2021-06-29,309074,318997,307183,315691,87606
2021-06-30,317579,318524,312380,316163,53996
2021-07-01,317106,336009,312852,332230,187709
2021-07-02,332229,335538,327031,335067,88090
2021-07-05,335539,357750,329867,356806,358882
2021-07-06,345937,346882,330814,331287,252949
2021-07-07,332703,337429,322778,326560,88198
2021-07-08,327032,331286,321361,324198,68786
2021-07-09,321360,325614,318997,320417,56385
2021-07-12,322307,326560,320416,324198,33211
2021-07-13,323722,327030,322305,322779,32082
2021-07-14,323251,323724,318052,318526,34141
2021-07-15,318996,321832,318524,318998,24226
2021-07-16,318051,318051,314743,316163,25089
2021-07-19,314271,316633,311435,314745,26851
2021-07-20,310490,318523,310490,311909,34576
2021-07-21,312854,313799,310492,310492,23697
2021-07-22,311907,313325,309072,311909,27435
2021-07-23,311437,318053,311437,313328,24105
2021-07-26,316633,316633,310963,310964,17589
2021-07-27,311436,311908,308128,308602,28300
2021-07-28,307653,308599,303400,305765,35172
2021-07-29,306710,311908,306238,310492,20826
2021-07-30,310964,311437,302458,302458,48657
2021-08-02,306238,306238,300094,303876,29507
2021-08-03,301510,303873,300565,302930,18518
2021-08-04,302457,308601,302457,308602,26018
2021-08-05,309545,315689,307183,308602,35973
2021-08-06,309545,314271,306710,312855,26981
2021-08-09,302456,304347,299148,301040,119211
2021-08-10,301509,303400,299147,300567,43854
2021-08-11,300566,306238,298204,304821,42133
2021-08-12,305293,307184,301986,301986,36757
2021-08-13,302458,306239,297260,298205,43912
2021-08-17,297732,301512,291116,293007,44521
2021-08-18,293006,295840,290642,293479,18136
2021-08-19,291586,295839,283552,283554,44238
2021-08-20,283080,285916,276464,277411,51347
2021-08-23,278354,288751,277882,284972,29204
2021-08-24,287804,293949,287332,291588,35691
2021-08-25,289225,292060,287806,291116,22296
2021-08-26,291114,293949,287333,287335,28341
2021-08-27,287804,292058,286860,289697,21538
2021-08-30,293478,294422,288752,288753,24333
2021-08-31,288751,292060,284498,292061,51471
2021-09-01,290170,297259,289225,295369,34497
2021-09-02,295368,298676,293006,293479,27936
2021-09-03,294422,299148,293950,295841,27828
2021-09-06,295840,296313,293006,293479,17114
2021-09-07,293476,293949,288750,291588,22895
2021-09-08,289223,292059,287805,287807,28599
2021-09-09,286388,289696,284026,284499,34423
2021-09-10,283552,285915,281662,283554,19579
2021-09-13,284027,287334,283553,286863,19161
2021-09-14,287805,288751,285443,285917,18873
2021-09-15,284498,287805,284498,286390,14000
2021-09-16,286389,287334,283081,283082,19761
2021-09-17,282607,284498,281189,284499,20887
2021-09-23,281661,284025,279772,280718,26479
2021-09-24,281189,281662,277882,278828,26415
2021-09-27,276937,279774,270321,270795,52824
2021-09-28,270794,270794,259924,260397,97014
2021-09-29,253779,258977,253779,258034,48842
2021-09-30,256143,263232,253781,259925,31810
2021-10-01,255198,258978,250471,251418,47513
2021-10-05,248582,252361,244328,244329,40494
2021-10-06,243854,248107,237239,237240,35910
2021-10-07,237711,248581,237711,247637,35558
2021-10-08,243855,248582,243855,246220,22757
2021-10-12,245744,247162,239127,242911,22602
2021-10-13,242910,256615,242910,249528,30373
2021-10-14,249998,257087,249998,254726,25700
2021-10-15,253781,258506,252836,255672,22707
2021-10-18,258033,258978,251889,254726,19180
2021-10-19,256142,260395,255197,258979,18568
2021-10-20,257562,260869,256143,257562,12631
2021-10-21,256616,262760,255672,261816,24295
2021-10-22,261813,262285,257086,258506,17134
2021-10-25,256615,258977,253306,258034,16030
2021-10-26,258032,261340,258032,261342,14967
2021-10-27,261814,261814,257561,258034,10877
2021-10-28,258506,258979,253781,253781,19614
2021-10-29,254725,255670,247636,249528,25033
2021-11-01,250471,257087,249999,255199,19854
2021-11-02,255670,261814,255670,258979,19316
2021-11-03,258977,260868,255670,258034,17727
2021-11-04,259923,264649,257087,258034,22205
2021-11-05,271266,273628,259451,266068,104203
2021-11-08,264176,268429,260868,262760,30655
2021-11-09,263230,266067,260395,262760,26232
2021-11-10,260397,264651,255199,255672,27292
2021-11-11,253780,256143,249527,251418,33202
2021-11-12,252836,258034,251890,253781,23635
2021-11-15,253780,262286,252361,260870,23452
2021-11-16,259450,262286,256615,258979,30278
2021-11-17,259450,261814,252361,253308,33521
2021-11-18,252362,253308,248583,248583,22712
2021-11-19,245745,251416,245745,249528,21690
2021-11-22,247162,252360,246690,252362,18690
2021-11-23,248583,257088,248109,250946,21845
2021-11-24,250945,255671,250472,253781,19278
2021-11-25,252360,254724,251416,251890,14706
2021-11-26,251888,256141,250469,252362,20323
2021-11-29,245746,256143,245746,246692,25815
2021-11-30,247163,248108,236766,238658,53711
2021-12-01,241964,241964,236765,239130,29567
2021-12-02,234874,250943,234874,248109,31584
2021-12-03,245744,251415,244326,248109,26992
2021-12-06,250471,251416,241965,250473,30259
2021-12-07,258032,263230,249998,261342,82900
2021-12-08,261340,265121,256142,258034,42451
2021-12-09,257086,265592,257086,265123,47632
2021-12-10,263230,267483,262285,265123,24584
2021-12-13,267012,267012,259924,260870,23153
2021-12-14,258977,267012,258504,262760,27468
2021-12-15,264177,264650,259924,260870,12452
2021-12-16,260869,263231,256142,260870,17425
2021-12-17,261339,266538,261339,265595,25378
2021-12-20,264649,265121,259923,262760,19153
2021-12-21,264176,266538,261339,265595,23507
2021-12-22,264649,265121,262286,262760,11684
2021-12-23,263703,264176,259450,262760,16355
2021-12-24,262760,267014,260870,261816,18418
2021-12-27,262759,278354,262286,277411,83676
2021-12-28,274101,276464,271266,272685,38802
2021-12-29,273167,275576,265459,265459,30826
2021-12-30,266421,270757,263531,265940,26990
2022-01-03,269311,277502,266421,274612,33748
2022-01-04,275574,277019,267866,267867,29985
2022-01-05,267867,267867,261603,262568,26582
2022-01-06,262086,262086,250523,251969,40161
2022-01-07,251969,257268,251487,254378,17046
2022-01-10,254377,260158,250523,252932,19350
2022-01-11,253896,259677,253414,254378,19113
2022-01-12,254858,260157,253895,259677,22983
2022-01-13,259676,261121,256304,258232,25198
2022-01-14,258231,258713,252932,254378,22479
2022-01-17,254377,255822,245704,247151,27664
2022-01-18,247630,250039,242813,245705,23597
2022-01-19,242333,247150,242333,242333,20485
2022-01-20,243777,249077,240887,249078,19828
2022-01-21,258230,267866,249076,250041,89361
2022-01-24,249558,252449,244741,246669,25383
2022-01-25,245704,247631,235587,237997,46653
2022-01-26,237995,241850,235105,235106,22920
2022-01-27,235105,237995,224024,224507,46368
2022-01-28,224506,237996,224506,237997,42551
2022-02-03,242813,247630,240886,245705,31156
2022-02-04,245704,249076,244259,246669,22123
2022-02-07,247150,247632,239924,243297,17851
2022-02-08,247150,252932,243778,251969,37672
2022-02-09,254859,255340,248595,251487,19234
2022-02-10,249077,255340,249077,251005,20296
2022-02-11,248594,250522,244740,249559,15235
2022-02-14,248112,249557,242813,245705,18746
2022-02-15,245705,246187,240888,241852,17743
2022-02-16,243295,252449,243295,250041,18607
2022-02-17,251967,252931,244258,247632,18846
2022-02-18,244259,252450,244259,251005,13331
2022-02-21,246668,255340,246668,253414,15610
2022-02-22,250522,252449,246185,249559,20869
2022-02-23,252450,254377,247632,251487,14355
2022-02-24,247631,250523,241851,243778,24142
2022-02-25,245704,247630,243777,245705,20051
2022-02-28,247632,255341,245705,255341,31173
2022-03-02,254859,256786,251487,253896,18032
2022-03-03,255822,257267,253895,256305,14804
2022-03-04,256304,256304,252450,253896,9183
2022-03-07,248112,250522,246185,247632,18381
2022-03-08,247631,261603,245704,257268,46608
2022-03-10,260639,261121,257748,261122,28079
2022-03-11,263049,267384,259676,259677,30979
2022-03-14,258231,260639,252450,254859,20046
2022-03-15,253413,261121,252449,261122,19785
2022-03-16,263048,271719,262085,269794,53466
2022-03-17,272201,273648,268348,268349,32674
2022-03-18,268348,273649,266903,273649,33877
2022-03-21,273649,273649,265458,266422,25649
2022-03-22,268829,268829,264975,267385,20725
2022-03-23,267384,271719,266420,269794,20056
2022-03-24,267385,268830,264013,266904,26592
2022-03-25,265938,270274,264975,269312,18434
2022-03-28,267384,269792,265457,269312,14135
2022-03-29,270276,270276,266422,266904,15238
2022-03-30,268349,269312,264495,264977,20307
2022-03-31,264976,267866,263531,264013,16345
2022-04-01,264976,264976,260158,263050,17344
2022-04-04,262568,264976,261121,264495,9563
2022-04-05,263530,265457,260639,261604,11659
2022-04-06,261120,264975,259675,260158,13587
2022-04-07,258713,260158,253414,254378,20123
2022-04-08,255340,264976,255340,264013,29703
2022-04-11,263049,265458,260158,264495,18342
2022-04-12,266902,274129,264975,267867,44386
2022-04-13,270274,286655,269311,284247,106246
2022-04-14,287139,295811,281357,289066,78712
2022-04-15,288102,299183,285693,295811,72638
2022-04-18,293882,300145,291955,293883,44682
2022-04-19,293881,299181,292436,292919,31953
2022-04-20,292437,296773,290991,292438,29500
2022-04-21,295327,298700,293882,294365,27206
2022-04-22,290991,296291,290509,293883,21734
2022-04-25,289064,295327,285211,292438,24395
2022-04-26,293883,297256,289547,295811,30252
2022-04-27,290027,299663,289064,294846,39051
2022-04-28,300145,305444,296291,303037,56842
2022-04-29,302073,304963,299664,300628,29520
2022-05-02,298219,302073,296292,298701,18731
2022-05-03,297254,298700,290027,291474,35430
2022-05-04,291473,292437,282319,285693,30033
2022-05-06,280874,282801,272684,278466,39503
2022-05-09,275575,284247,274611,279430,24962
2022-05-10,279428,289064,274129,283765,39271
2022-05-11,280392,286174,280392,281357,14527
2022-05-12,279910,287618,275574,280393,31808
2022-05-13,286657,286657,282320,285212,16295
2022-05-16,289064,289546,282319,283284,13070
2022-05-17,283283,290992,282802,288584,31238
2022-05-18,289065,291474,285211,288584,21975
2022-05-19,282318,287618,282318,283765,19672
2022-05-20,288101,290992,285693,289547,18160
2022-05-23,291474,304964,290029,297738,51181
2022-05-24,297737,304000,293882,297256,27254
2022-05-25,302554,305444,296291,303037,47701
2022-05-26,303036,305926,300145,303037,29454
2022-05-27,304963,305445,298219,300628,17336
2022-05-30,301109,305445,299664,300628,17818
2022-05-31,301110,302555,296774,298220,39165
2022-06-02,296292,297738,291956,297738,15281
2022-06-03,297737,300628,296292,297256,11016
2022-06-07,294365,299665,292919,296293,20296
2022-06-08,294846,298701,293883,296293,10369
2022-06-09,298701,299665,294846,296293,23357
2022-06-10,295326,297254,290027,294846,19069
2022-06-13,290027,293399,283282,284247,23580
2022-06-14,282319,284729,276538,281357,29628
2022-06-15,281356,282801,271721,273649,23497
2022-06-16,274612,282319,273166,274612,22098
2022-06-17,271720,280392,270756,278948,23816
2022-06-20,281838,286656,274612,275576,22515
2022-06-21,279430,289065,276539,287139,29446
2022-06-22,288583,288583,282801,283284,19092
2022-06-23,283764,290991,279428,284247,35623
